char,count
不,3411037
無,2770125
一,2621555
是,2455567
有,2393783
之,2114228
者,2067103
如,1963528
法,1938108
為,1874388
故,1753877
二,1637683
生,1609473
三,1547887
此,1519357
佛,1497606
所,1458962
以,1425802
也,1408775
云,1350289
人,1306983
中,1226987
於,1216455
大,1206940
心,1187899
得,1177541
若,1173131
說,1110979
而,1070851
十,1059415
諸,1055693
相,1039789
行,1010091
名,976417
見,920672
何,889488
即,888738
師,884237
四,879531
非,864844
曰,862267
言,858076
等,857503
上,846430
時,834332
來,822392
道,819646
自,811883
其,802345
明,794830
知,784463
能,746310
世,744806
菩,730088
亦,724377
作,716043
眾,707749
我,696777
經,692192
下,684705
薩,663905
五,660630
身,651608
切,647135
子,622850
善,612250
因,606807
謂,595173
至,590988
緣,589611
在,585405
成,580721
處,579802
第,579315
智,576592
可,575467
天,573991
應,564497
性,559658
界,551229
種,546102
出,544957
分,544804
彼,540168
義,538728
淨,538603
地,531508
空,521577
與,520494
後,520437
羅,520076
正,516771
問,516493
前,514324
別,513883
今,510108
門,494962
則,485272
方,478989
事,475608
初,474511
受,473055
已,472089
僧,459812
本,459160
王,453449
皆,452084
然,450539
入,447494
住,444084
六,443900
又,443244
意,442336
觀,441434
當,437777
同,435863
文,427663
多,426913
山,415809
依,412833
修,411506
解,410946
起,410054
色,405061
識,404993
未,403017
日,400877
現,398504
復,395216
從,393097
真,391813
論,391077
釋,387346
聞,385213
乃,379731
欲,378122
及,368919
教,366668
實,366628
念,365292
八,361016
滅,358625
定,354898
離,353616
或,351640
便,347615
常,345140
果,343234
隨,340309
德,339249
通,338052
根,333993
七,333991
的,324924
尊,320754
次,318072
比,317915
覺,309645
令,307089
由,306418
去,301530
阿,301346
他,298902
清,298497
提,298161
業,297679
禪,295162
戒,293127
用,292807
異,292713
難,290770
斷,289713
具,289667
樂,284257
丘,282018
合,279594
語,278305
體,277728
苦,277681
持,277289
利,274219
間,271339
過,269146
理,268151
乘,266673
光,266591
摩,264879
汝,264238
盡,261378
聲,258742
量,256460
慧,255943
年,255743
外,250118
力,248788
聖,244406
餘,241289
答,241277
取,240804
南,240728
百,240183
勝,239836
發,238848
長,237438
立,237235
學,235312
家,232784
句,232370
了,232240
安,229561
思,229514
麼,228559
千,228101
波,226903
寶,226728
爾,226453
化,226356
華,225772
唯,225260
惡,224409
藏,224386
雖,223999
金,222542
反,221873
但,221085
著,218502
月,218469
轉,218254
水,218237
耶,217596
境,217143
九,216870
證,216463
信,215950
妙,215170
須,214276
神,214162
死,214120
重,212152
國,211789
足,211044
卷,210171
顯,209299
眼,209107
向,208979
先,206353
想,206136
那,205277
和,202914
就,201458
白,200818
食,200815
開,200305
願,199826
圓,197345
求,195755
結,195254
會,192485
萬,192292
頭,192021
俱,191890
音,191498
示,191032
廣,190879
對,190483
既,189921
…,189548
攝,186792
破,185332
施,184864
宗,182821
物,180894
字,179324
脫,178679
陀,177838
內,177081
小,176822
引,176800
尼,176509
深,175791
度,174809
婆,174625
還,172777
數,172472
沙,172292
品,172214
嚴,170272
捨,170225
功,167360
般,163808
舉,163485
主,163458
衣,163283
流,162600
各,161552
位,159137
老,158927
雲,158746
諦,158194
舍,157799
海,157024
迦,155254
喜,155235
歸,155234
惱,153955
妄,153885
命,153438
風,153261
土,153005
寺,152149
更,152135
居,151341
甚,151010
滿,150796
情,150235
將,149005
槃,148836
堂,148459
尚,147847
香,147621
總,146880
報,146589
請,146339
集,146200
執,145634
涅,143258
塵,142221
進,142028
記,141367
坐,141321
增,141178
共,140549
使,140456
往,139256
普,137764
西,137512
動,137081
要,136273
除,136212
夫,136012
到,135655
女,135032
悉,134480
必,134007
手,133650
止,133004
遠,132964
訶,132777
古,132084
罪,131882
竟,131575
邊,131434
愛,131433
悟,130198
約,130083
福,129060
士,128206
高,128181
祖,127898
兩,127754
供,127732
禮,127547
終,127172
耳,127131
失,127083
傳,126822
稱,125569
指,125215
且,124490
凡,124223
漏,123045
矣,122925
少,122209
