work_id,char_count
B0001,430356
B0002,2006182
B0003,220866
B0004,200494
B0005,275287
B0006,90554
B0007,134663
B0008,77800
B0009,233994
B0010,1516
B0011,1344
B0012,1179
B0013,393
B0014,1784
B0015,1232
B0016,931
B0017,18353
B0018,30793
B0019,6466
B0020,10909
B0021,4631
B0022,7578
B0023,365032
B0024,58540
B0025,20025
B0026,818538
B0027,106938
B0028,72409
B0029,81591
B0030,8635
B0031,48996
B0032,9859
B0033,7535
B0034,1773
B0035,8352
B0036,2004
B0037,20883
B0038,10997
B0039,14798
B0040,73140
B0041,6697
B0042,9572
B0043,200216
B0044,156441
B0045,60006
B0046,5843
B0047,37813
B0048,66332
B0049,1779
B0050,10277
B0051,4747
B0052,1609
B0053,570
B0054,1082
B0055,514
B0056,8841
B0057,54464
B0058,25703
B0059,23429
B0060,4881
B0061,5139
B0062,9673
B0063,11251
B0064,16142
B0065,129523
B0066,46521
B0067,273494
B0068,268609
B0069,53654
B0070,18348
B0071,40789
B0072,39538
B0073,119786
B0074,43354
B0075,110607
B0076,45134
B0077,155515
B0078,127503
B0079,559722
B0080,132729
B0081,72331
B0082,93260
B0084,5832
B0085,71784
B0086,65474
B0087,62853
B0088,2109841
B0089,193386
B0090,27444
B0091,63647
B0092,40483
B0093,69504
B0094,26116
B0095,97706
B0096,22963
B0097,59556
B0098,230023
B0099,17420
B0101,6430
B0103,506483
B0116,92895
B0117,715582
B0118,66800
B0119,53674
B0130,10243
B0131,66258
B0132,25354
B0133,8240
B0134,27884
B0135,106577
B0136,75518
B0137,158676
B0138,29509
B0139,8759
B0140,49810
B0141,115881
B0142,44342
B0143,20733
B0144,251160
B0145,213216
B0146,53984
B0147,190007
B0148,42733
B0149,43156
B0150,582
B0151,391971
B0152,141222
B0153,98633
B0155,102976
B0156,34019
B0157,246512
B0158,26189
B0159,33536
B0160,367369
B0161,173372
B0163,122593
B0169,321306
B0170,1076212
B0171,29512
B0172,35523
B0173,263605
B0174,129233
B0175,11749
B0176,53444
B0177,61879
B0178,4222
B0179,2588
B0180,8848
B0181,10804
B0182,15950
B0183,26199
B0184,55964
B0185,96055
B0186,26074
B0187,29737
B0189,5559
B0190,7306
B0191,2770
B0192,554831
B0193,780005
B0194,379784
B0195,25696
B0196,15204
B0197,208937
B0198,625277
