work_id,char_count
D8820,157
D8853,172223
D8879,406751
D8880,11762
D8939,362159
D8904,260593
D8930,45690
D8881,18029
D8874,10081
D8842,5670
D8838,25312
D8936,69959
D8903,320091
D8942,36493
D8952,561
D8953,2225
D9026,649
D8890,9568
D8895,47396
D8790,2728
D8779,1365
D8898,40209
D9031,6161
D9027,553
D8954,96690
D8951,487660
D8775,2405
D8899,25663
D8679,4410
D8896,164668
D8780,3885
D8889,35329
D8915,2173
D8905,85446
D8888,123844
D8859,220974
D8817,1432
D8863,321677
D8883,76291
D8869,6899
D8913,8266
D8914,308009
D8871,5086
D8864,35107
D8882,14259
D8814,3904
D8885,52701
D8862,367169
D8894,117861
D8891,71234
D8724,2937
D8701,1426
D9000,35378
D8945,26684
D9011,21556
D9025,82892
D8680,9421
D8774,15082
D8892,57494
D8893,51528
D9021,37664
D9010,40463
D8948,29047
D8980,105467
