work_id,char_count
I0035,777
I0021,781
I0009,697
I0008,130
I0020,413
I0034,1269
I0022,800
I0036,609
I0037,1663
I0023,591
I0027,309
I0033,1126
I0032,581
I0026,668
I0018,1081
I0030,407
I0024,234
I0025,448
I0031,1223
I0019,444
I0095,813
I0081,516
I0056,221
I0042,3348
I0043,1137
I0057,503
I0080,909
I0094,643
I0082,1580
I0096,1720
I0041,3508
I0055,688
I0069,278
I0068,334
I0054,701
I0040,4147
I0097,485
I0083,557
I0087,352
I0093,1504
I0078,684
I0044,1215
I0050,1198
I0051,861
I0045,794
I0079,734
I0092,749
I0086,514
I0090,1038
I0084,617
I0053,812
I0047,1008
I0046,1303
I0052,998
I0085,711
I0091,1244
I0088,1135
I0077,527
I0063,2391
I0062,1997
I0076,1014
I0089,562
I0100,210
I0060,2891
I0074,1865
I0048,1391
I0049,1975
I0075,473
I0061,245
I0059,403
I0065,379
I0071,621
I0070,665
I0064,1716
I0058,1485
I0099,509
I0072,2264
I0066,965
I0067,1488
I0073,6331
I0098,1975
I0014,604
I0028,1013
I0029,5181
I0001,1160
I0015,367
I0003,449
I0017,481
I0016,622
I0002,1328
I0006,913
I0012,719
I0013,1833
I0007,3146
I0039,333
I0011,1321
I0005,286
I0004,347
I0010,180
I0038,336
