work_id,char_count
JB492,19444
JB486,5069
JB479,52421
JB478,48719
JB487,15966
JB493,42798
JB485,11669
JB491,12389
JB490,39665
JB484,7595
JB480,56104
JB494,166817
JB495,7477
JB481,15002
JB497,29325
JB483,80536
JB473,7505
JB472,27002
JB476,12648
JB477,17383
JB488,15742
JB475,24184
JB474,25385
JB173,29919
JB167,13502
JB166,7982
JB164,24994
JB159,13718
JB171,172756
JB165,14954
JB175,8593
JB174,127416
JB176,17427
JB163,66591
JB154,16880
JB155,13485
JB156,20678
JB116,131884
JB005,7025
JB129,7688
JB128,6772
JB122,174782
JB120,9113
JB134,70898
JB135,264952
JB125,10891
JB118,72285
JB127,17166
JB138,41733
JB137,30469
JB465,18127
JB471,116610
JB459,17470
JB458,9506
JB470,5143
JB464,9286
JB466,49204
JB463,38863
JB462,21116
JB448,51594
JB460,27418
JB461,30285
JB449,15751
JB439,18080
JB438,9240
JB435,7194
JB436,15353
JB444,6787
JB450,53587
JB451,30020
JB445,24620
JB453,65828
JB447,68940
JB446,22956
JB452,42854
JB456,9890
JB442,16432
JB443,5728
JB457,6746
JB469,10373
JB441,50670
JB455,4586
JB454,137228
JB440,21805
JB468,30778
JA042,31023
JB396,17204
JB383,66685
JB395,19173
JB394,66298
JB390,32527
JB384,113530
JB391,10357
JB387,51099
JB393,17160
JB392,139889
JB386,117874
JB388,91551
JB389,39448
JB372,14128
JB400,15723
JB399,15054
JB401,13856
JB371,84331
JB370,12485
JB402,13132
JB259,20750
JB260,25356
JB269,116239
JB268,41784
JB271,333361
JB267,152472
JB355,17834
JB369,232109
JB368,13090
JB354,1753
JB356,28420
JB357,44110
JB353,7748
JB352,16132
JB346,18502
JB345,17419
JB351,30737
JB348,343689
JB363,28820
JB362,58983
JB366,37252
JB367,37298
JB359,174412
JB365,14127
JB364,21366
JB358,8014
JA123,8727
JB412,12359
JB406,149580
JB407,81235
JB413,14355
JB411,12510
JB410,101872
JB428,20817
JB414,30233
JB415,53429
JB429,43041
JB417,11473
JB416,11490
JB433,15457
JB427,54937
JB432,16544
JB424,35129
JB430,31461
JB418,70696
JB419,16488
JB431,10839
JB425,181116
JB409,48860
JB421,16835
JB434,4565
JB420,3420
JB408,47707
JB422,26561
JB423,20783
JB109,267952
JB110,178572
JB047,18706
JB044,70798
JB048,65602
JB180,40460
JB181,231024
JB183,102340
JB182,74431
JB186,59223
JB187,175364
JB178,179163
JB185,91900
JB184,45403
JB188,130120
JB177,166535
JA158,160149
JB214,13532
JB215,8714
JB203,72927
JB202,304505
JB216,38018
JB212,72588
JB206,18233
JB207,28100
JB213,10710
JB205,83603
JB211,43818
JB210,25082
JB204,34471
JB209,18622
JB221,17302
JB220,75852
JB208,180110
JB218,28342
JB219,196609
JB229,12062
JB239,127017
JB238,18646
JB248,32433
JB249,40179
JB242,5716
JB243,6494
JB241,163448
JB240,17592
JB244,98027
JB245,25861
JB247,3624
JB246,18294
JB235,47987
JB234,25626
JB222,27286
JB236,15785
JB237,20612
JB223,104683
JB227,7217
JB233,83610
JB232,21751
JB226,20670
JB230,60816
JB224,89233
JB225,23447
JB231,35172
JB194,71368
JB197,77933
JB196,24137
JB192,64644
JB193,145259
JB191,39364
JB190,144441
JB189,134110
JB200,31606
JB198,169242
JB199,41773
JB091,14824
JB090,22481
JB097,58091
JB096,122417
JB095,11687
JB098,45790
JB103,19873
JB288,30517
JB277,357953
JB282,43599
JB283,47721
JB281,39337
JB280,119843
JB294,121787
JB284,58962
JB285,26093
JB287,39416
JB293,12013
JB279,13779
JB286,80329
JB299,146994
JB306,30845
JB312,15546
JB313,27529
JB298,43947
JB311,365206
JB305,13376
JB304,29710
JB310,31456
JB300,97252
JB301,76933
JB303,32106
JB296,37947
JB309,16067
JB308,24331
JB295,36764
JB339,26401
JB338,38630
JB326,59262
JB325,91003
JB336,52565
JB337,13146
JB342,37866
JB343,86177
JB341,2911
JB340,24509
JB275,6150
JB276,54473
JB272,31580
JB273,46993
