work_id,char_count
T1828,914017
T1826,31687
T1827,128295
T1825,66326
T1824,275165
T1902,1723
T1862,55097
T1876,7511
T1889,3720
T1888,8992
T1877,15445
T1863,67683
T1903,1667
T1901,988
T1875,15283
T1861,206388
T1860,66383
T1874,22337
T1900,8389
T1904,10948
T1910,16932
T1858,19307
T1870,86538
T1864,30490
T1865,14805
T1871,11808
T1859,66032
T1905,4591
T1907,5674
T1867,8422
T1873,22079
T1898,13849
T1899,23013
T1872,2198
T1866,48464
T1906,5236
T1857,11438
T1880,5562
T1894,8922
T1895,25517
T1881,4894
T1856,35186
T1908,1244
T1854,64168
T1868,7520
T1897,8714
T1883,18410
T1882,1891
T1896,24150
T1869,28089
T1855,10576
T1909,68131
T1892,17406
T1886,5761
T1893,21470
T1878,9171
T1887A,9882
T1852,22414
T1885,22994
T1891,6974
T1890,28653
T1884,13107
T1853,105643
T1887B,82555
T1879a,5406
T1879b,5639
T1165,3373
T1171,4846
T1159B,7433
T1039,10561
T1038,2560
T1138a,1750
T1134B,863
T1158,847
T1170,19053
T1164,4133
T1172,1057
T1166,604
T1159A,3901
T1138b,2208
T1134A,2126
T1167,1239
T1173,4542
T1198,241
T1188,5750
T1163,2716
T1103b,9992
T1162,1650
T1176,717
T1189,6553
T1148,178
T1160,382
T1174,3010
T1103a,8169
T1175,7844
T1161,9338
T1149,2807
T1106,2148
T1112,9685
T1108A,1358
T1057b,8842
T1099,5189
T1066,3395
T1067,7731
T1073,2232
T1098,15903
T1107,3369
T1111,2420
T1105,3475
T1139,5060
T1108B,1443
T1057a,10163
T1065,9661
T1071,4385
T1059,2972
T1058,10849
T1070,4586
T1064,4861
T1104,2185
T1110,6467
T1128,9221
T1114,1842
T1100,3663
T1168A,678
T1048,2698
T1060,10564
T1074,1303
T1075,7334
T1061,2754
T1049,770
T1113A,1249
T1101,5773
T1115,1347
T1129,21509
T1117,1137
T1168B,870
T1088,1819
T1077,1444
T1063,1347
T1076,8404
T1089,3186
T1113B,1971
T1116,4723
T1102,3514
T1127,1105
T1133,1302
T1090,3970
T1084,1839
T1053,1530
T1047,765
T1046,454
T1052,1155
T1085,3672
T1091,1845
T1132,4838
T1126,3308
T1130,8517
T1124,4321
T1118,516
T1087,4066
T1093,5482
T1044,2131
T1050,26793
T1078,1095
T1079,1920
T1051,4286
T1092,256611
T1086,4051
T1119,6339
T1125,5163
T1131,1526
T1109,476
T1135,982
T1121,2158
T1082,4057
T1096,18402
T1069,10509
T1041,1040
T1055,1061
T1054,2330
T1040,1821
T1068,2033
T1097,16391
T1083,3150
T1185A,9215
T1062B,365
T1122,4592
T1136,1612
T1095,5412
T1081,1612
T1056,14703
T1042,1016
T1043,5521
T1080,11387
T1094,5740
T1185B,12725
T1137,2488
T1123,2795
T1062A,849
T1187,6975
T1193,4451
T1120B,921
T1144,941
T1150,1672
T1178,515
T1177B,2185
T1030,5545
T1031,2487
T1045a,2885
T1179,1484
T1151,3766
T1145,2053
T1192,32404
T1186,1200
T1190,10819
T1184,7350
T1120A,5606
T1153,35540
T1147,3390
T1177A,81394
T1033,9763
T1032,2772
T1045b,2972
T1146,2003
T1152,1169
T1191,99110
T1156B,549
T1195,1335
T1181,1508
T1142,140
T1036,1631
T1037,2037
T1072A,21665
T1143,407
T1157,887
T1180,1037
T1194,3317
T1156A,2003
T1182,1458
T1196,846
