work_id,char_count
X0001,372
X0005,14976
X0006,270
X0008,169851
X0010,10450
X0011,1229
X0012,2995
X0013,1342
X0014,2358
X0015,8379
X0017,10260
X0019,354
X0020,4799
X0021,2784
X0023,445
X0024,878
X0025,2621
X0026,35217
X0027,22123
X0028,1266
X0034,244
X0057,621
X0181,3676
X0182,565
X0183,447
X0184,395
X0185,663
X0188,728
X0190,772
X0191,5613
X0192,2276
X0193,609
X0201,2167
X0202,778
X0203,3119
X0204,6767
X0205,3084
X0206,796
X0207,5353
X0208,6307
X0211,24808
X0218,1286
X0220,4079
X0221,513704
X0223,1030766
X0225,71543
X0226,72665
X0227,247443
X0228,8142
X0229,146006
X0230,5041
X0231,133128
X0232,215614
X0234,391919
X0235,145582
X0236,445799
X0237,57716
X0238,26238
X0239,18724
X0240,997579
X0241,18443
X0242,15531
X0243,129514
X0244,12910
X0245,523063
X0246,10931
X0248,206076
X0249,16160
X0250,203735
X0251,30990
X0252,90784
X0253,201787
X0254,83310
X0255,2616
X0256,3555
X0257,52471
X0258,41003
X0259,47591
X0260,40565
X0261,41592
X0262,105008
X0263,120759
X0264,1370
X0265,16707
X0267,123838
X0268,288640
X0269,96242
X0270,153148
X0271,276059
X0272,128682
X0273,28831
X0274,41089
X0275,434546
X0276,35002
X0277,8969
X0278,7495
X0279,177372
X0280,40861
X0281,370610
X0282,62580
X0283,241173
X0284,32405
X0285,213551
X0286,180389
X0287,871307
X0288,145944
X0289,238418
X0290,4400
X0291,206556
X0292,10635
X0293,5609
X0294,13219
X0295,68971
X0296,13908
X0297,39251
X0298,229970
X0299,213723
X0300,110891
X0301,119371
X0302,63301
X0303,349144
X0304,10080
X0305,23815
X0306,361343
X0307,18383
X0308,511437
X0309,32648
X0310,3599
X0311,30988
X0312,2674
X0313,22498
X0314,5898
X0315,15932
X0316,299916
X0317,169808
X0318,325751
X0321,25286
X0322,24139
X0323,125851
X0324,104911
X0325,40207
X0326,220278
X0327,9899
X0328,13203
X0329,174728
X0330,278768
X0331,169270
X0332,164217
X0333,47623
X0334,152441
X0338,312362
X0340,86782
X0343,114985
X0345,20387
X0347,32717
X0348,209387
X0349,14148
X0351,53714
X0352,42305
X0353,62670
X0355,4297
X0356,67439
X0357,19678
X0358,204610
X0359,88172
X0360,155382
X0361,77876
X0362,58682
X0364,103088
X0365,10378
X0366,10142
X0367,360574
X0368,69598
X0369,361271
X0370,24505
X0371,48802
X0372,33891
X0373,34173
X0374,3905
X0375,58990
X0376,14685
X0377,12083
X0378,12139
X0379,3256
X0381,21500
X0382,5775
X0383,24711
X0384,181309
X0388,24683
X0389,3385
X0393,18656
X0394,62480
X0397,19342
X0400,38904
X0401,53644
X0405,14317
X0406,5635
X0407,80434
X0408,3410
X0410,11756
X0411,56911
X0412,6610
X0413,36798
X0414,6216
X0420,33719
X0421,12140
X0422,8818
X0423,54634
X0424,121994
X0425,11386
X0426,12529
X0427,138212
X0428,19245
X0429,5036
X0430,101458
X0431,20457
X0432,15670
X0433,2718
X0434,36387
X0435,19027
X0438,334873
X0439,187471
X0445,13361
X0446,51769
X0447,17031
X0448,55920
X0449,223242
X0451,207738
X0454,13444
X0456,25476
X0459,24414
X0460,1559
X0461,34384
X0462,48124
X0463,1395
X0464,41519
X0465,4262
X0466,16027
X0467,157955
X0468,91505
X0469,40264
X0470,44154
X0471,65128
X0472,17567
X0473,2709
X0474,20555
X0475,43622
X0476,19293
X0477,2795
X0478,24835
X0479,23179
X0480,1883
X0481,4892
X0482,18228
X0483,19410
X0484,5579
X0485,32533
X0486,25172
X0487,86878
X0488,37957
X0489,42125
X0490,22149
X0491,150540
X0492,7464
X0493,25745
X0494,38105
X0495,29021
X0496,22255
X0497,38154
X0498,30967
X0499,43881
X0500,34417
X0501,32342
X0502,37991
X0503,25479
X0504,83279
X0505,66101
X0506,12834
X0507,3653
X0508,12929
X0509,40338
X0510,33587
X0513,60507
X0514,719
X0515,6697
X0516,21063
X0517,136019
X0519,134801
X0520,70746
X0521,10651
X0522,8317
X0524,17581
X0525,72431
X0526,4030
X0528,2243
X0529,4485
X0530,7867
X0531,20216
X0532,53952
X0533,5914
X0534,2428
X0535,7430
X0536,1989
X0537,899
X0538,2530
X0539,907
X0540,4794
X0541,13876
X0542,4118
X0543,842
X0544,6410
X0545,8374
X0546,603
X0547,4580
X0548,8630
X0549,2195
X0550,7913
X0551,5585
X0552,4289
X0553,12640
X0554,4030
X0555,2273
X0556,1306
X0557,8253
X0558,2747
X0559,12535
X0560,4262
X0561,4528
X0562,5197
X0563,4010
X0564,3822
X0565,623
X0566,17326
X0567,4254
X0568,3772
X0569,6724
X0570,6080
X0571,2503
X0572,2736
X0573,2492
X0574,18272
X0575,29333
X0576,4796
X0577,26221
X0582,152075
X0583,28561
X0584,150169
X0585,148047
X0586,358207
X0587,20935
X0588,59845
