work_id,char_count
Y0032,214578
Y0031,140621
Y0005,210062
Y0002,110300
Y0003,107051
Y0004,76261
Y0030,783019
Y0033,358124
Y0042,147014
Y0041,98570
Y0028,126585
Y0017,84639
Y0010,81131
Y0019,125715
Y0026,113363
Y0021,85663
Y0040,177578
Y0020,99064
Y0018,85955
Y0027,111089
Y0011,103728
Y0029,103590
Y0016,158127
Y0035,578972
Y0008,104920
Y0001,86260
Y0006,215104
Y0037,123152
Y0007,161826
Y0036,114371
Y0034,303427
Y0009,110508
Y0013,187989
Y0014,141531
Y0022,159704
Y0025,177960
Y0038,225287
Y0024,158885
Y0023,145779
Y0015,94110
Y0012,177585
Y0039,91103
