work_id,char_count
ZW0073a,6300
ZW0073b,2715
ZW0073c,599
ZW0073g,10177
ZW0073f,9347
ZW0073d,7100
ZW0073e,2615
ZW0073h,10314
ZW0072,9512
ZW0076,8497
ZW0077,20777
ZW0075,10363
ZW0074,47845
ZW0058,4949
ZW0065,22954
ZW0066,11150
ZW0062,31370
ZW0063,41392
ZW0061,19391
ZW0060,2098
ZW0064h,5610
ZW0064g,493
ZW0064f,326
ZW0064d,227
ZW0064e,396
ZW0064a,1473
ZW0064b,170
ZW0064c,205
ZW0059a,2396
ZW0059b,335
ZW0051,61407
ZW0052,31587
ZW0053,14259
ZW0057,7356
ZW0056,2758
ZW0054,4694
ZW0055,4115
ZW0001,3771
ZW0016,19284
ZW0002,2983
ZW0003,3036
ZW0013,3539
ZW0007,40355
ZW0006,18433
ZW0012,1972
ZW0004,1568
ZW0010,5554
ZW0011,2305
ZW0005,17334
ZW0008,29951
ZW0015a,2601
ZW0009,4375
ZW0015b,936
ZW0015c,943
ZW0014c,458
ZW0014b,316
ZW0015d,709
ZW0014a,1179
ZW0068,87430
ZW0069,3550
ZW0070,17112
ZW0071,9881
ZW0067,15724
ZW0037,3865
ZW0043b,7344
ZW0036,1669
ZW0034,642
ZW0043a,2098
ZW0035,169
ZW0033,138747
ZW0040,6511
ZW0041,14096
ZW0042,3316
ZW0044,19507
ZW0038,547
ZW0039,3427
ZW0025,55733
ZW0024,5520
ZW0030,19609
ZW0026,717
ZW0032,10897
ZW0027,1935
ZW0023,10513
ZW0029,44153
ZW0028,10403
ZW0031a,3823
ZW0031c,3399
ZW0031b,2817
ZW0031e,3226
ZW0031d,3156
ZW0018a,1950
ZW0018b,1992
ZW0019,52755
ZW0022,2662
ZW0020,37427
ZW0021,72456
ZW0017,9483
ZW0046,37768
ZW0047,11623
ZW0045,3129
ZW0050,9452
ZW0049,49387
ZW0048,11473
