work_id,char_count
JA042,25553
JA123,8725
JA158,128939
JB005,5824
JB044,59827
JB047,16115
JB048,57729
JB090,19068
JB091,11940
JB095,9994
JB096,97163
JB097,48441
JB098,39157
JB103,16650
JB109,215028
JB110,152658
JB116,114120
JB118,62614
JB120,7528
JB122,140384
JB125,8555
JB127,14830
JB128,5996
JB129,6828
JB134,58096
JB135,228100
JB137,21514
JB138,29514
JB154,14264
JB155,11102
JB156,17108
JB159,11594
JB163,55843
JB164,21149
JB165,12361
JB166,6891
JB167,11560
JB171,145105
JB173,24648
JB174,106206
JB175,6355
JB176,14645
JB177,138673
JB178,144065
JB180,32553
JB181,198626
JB182,63077
JB183,82711
JB184,38800
JB185,73695
JB186,48966
JB187,138289
JB188,110285
JB189,114236
JB190,118325
JB191,32315
JB192,54889
JB193,123358
JB194,58435
JB196,20622
JB197,64525
JB198,140999
JB199,35008
JB200,25882
JB202,249779
JB203,57801
JB204,27779
JB205,74184
JB206,14562
JB207,27847
JB208,153292
JB209,15001
JB210,24928
JB211,40955
JB212,57921
JB213,10630
JB214,13465
JB215,8670
JB216,34395
JB218,24237
JB219,184857
JB220,72913
JB221,17239
JB222,27008
JB223,103994
JB224,85745
JB225,23240
JB226,20467
JB227,7166
JB229,11934
JB230,60393
JB231,34974
JB232,21624
JB233,75624
JB234,25420
JB235,47644
JB236,15660
JB237,20355
JB238,18505
JB239,122317
JB240,17370
JB241,161767
JB242,5659
JB243,6438
JB244,96563
JB245,25789
JB246,18059
JB247,3480
JB248,32175
JB249,39935
JB259,17347
JB260,21395
JB267,151952
JB268,41592
JB269,114557
JB271,289527
JB272,31077
JB273,46618
JB275,6064
JB276,54098
JB277,309166
JB279,13684
JB280,118867
JB281,39083
JB282,43324
JB283,47708
JB284,58718
JB285,25784
JB286,76235
JB287,39136
JB288,30265
JB293,12010
JB294,120459
JB295,36108
JB296,36796
JB298,43592
JB299,145692
JB300,96712
JB301,76467
JB303,31938
JB304,29375
JB305,13273
JB306,30459
JB308,23952
JB309,15935
JB310,31245
JB311,351931
JB312,15441
JB313,27384
JB325,76756
JB326,53190
JB336,51720
JB337,11559
JB338,38088
JB339,26192
JB340,24303
JB341,2891
JB342,37410
JB343,85638
JB345,14844
JB346,18095
JB348,292585
JB351,30562
JB352,15805
JB353,7705
JB354,1529
JB355,16500
JB356,27847
JB357,43654
JB358,7838
JB359,165388
JB362,53181
JB363,28487
JB364,21190
JB365,14041
JB366,37052
JB367,36985
JB368,12964
JB369,226463
JB370,12303
JB371,82646
JB372,14063
JB383,65813
JB384,108368
JB386,117255
JB387,50795
JB388,90609
JB389,35835
JB390,32147
JB391,10283
JB392,138430
JB393,16931
JB394,63489
JB395,17648
JB396,16986
JB399,14936
JB400,15638
JB401,13797
JB402,12960
JB406,128423
JB407,66441
JB408,47461
JB409,48349
JB410,100825
JB411,12325
JB412,12258
JB413,14282
JB414,29906
JB415,52594
JB416,11379
JB417,11259
JB418,70091
JB419,16367
JB420,3374
JB421,14915
JB422,24589
JB423,20685
JB424,34788
JB425,179851
JB427,54626
JB428,20661
JB429,42883
JB430,31126
JB431,9204
JB432,14056
JB433,15364
JB434,4539
JB435,7068
JB436,15257
JB438,9168
JB439,17979
JB440,21530
JB441,49949
JB442,16306
JB443,5661
JB444,6721
JB445,24454
JB446,18783
JB447,68395
JB448,51053
JB449,15612
JB450,53158
JB451,29829
JB452,35041
JB453,65178
JB454,129058
JB455,4553
JB456,9797
JB457,6692
JB458,9489
JB459,16674
JB460,27091
JB461,29948
JB462,20881
JB463,38403
JB464,8175
JB465,16638
JB466,43136
JB468,26973
JB469,10268
JB470,4991
JB471,116014
JB472,26829
JB473,7461
JB474,19984
JB475,23931
JB476,12524
JB477,17192
JB478,48510
JB479,48013
JB480,55107
JB481,12653
JB483,74135
JB484,7510
JB485,11587
JB486,4910
JB487,15824
JB488,15421
JB490,37238
JB491,12289
JB492,17139
JB493,42441
JB494,142105
JB495,7460
JB497,25453
