work_id,char_count
T0001,198488
T0002,4754
T0003,5872
T0004,1442
T0005,21560
T0006,20646
T0007,22556
T0008,8101
T0009,3308
T0010,7651
T0011,5891
T0012,8679
T0013,10154
T0014,6299
T0015,5522
T0016,1909
T0017,2924
T0018,3714
T0019,1963
T0020,6108
T0021,9487
T0022,7442
T0023,46348
T0024,74459
T0025,75480
T0026,527772
T0027,894
T0028,795
T0029,725
T0030,1550
T0031,1903
T0032,3696
T0033,1474
T0034,1260
T0035,1137
T0036,813
T0037,696
T0038,1772
T0039,2454
T0040,1371
T0041,2350
T0042,2119
T0043,1243
T0044,1997
T0045,6521
T0046,1649
T0047,1114
T0048,1364
T0049,4642
T0050,1945
T0051,858
T0052,3104
T0053,2279
T0054,1687
T0055,2298
T0056,454
T0057,2794
T0058,2557
T0059,334
T0060,2977
T0061,1421
T0062,2532
T0063,1178
T0064,1360
T0065,1137
T0066,3419
T0067,2352
T0068,4652
T0069,3867
T0070,2076
T0071,3013
T0072,398
T0073,1339
T0074,2999
T0075,1648
T0076,3999
T0077,1419
T0078,1575
T0079,3876
T0080,5696
T0081,8470
T0082,1068
T0083,1691
T0084,1388
T0085,3548
T0086,5365
T0087,1545
T0088,1324
T0089,677
T0090,1794
T0091,1633
T0092,1230
T0093,493
T0094,1511
T0095,891
T0096,413
T0097,3960
T0098,3607
T0099,471590
T0100,141520
T0101,9263
T0102,359
T0103,623
T0104,592
T0105,823
T0106,873
T0107,311
T0108,811
T0109,808
T0110,739
T0111,421
T0112,661
T0113,1702
T0114,353
T0115,470
T0116,713
T0117,525
T0118,2476
T0119,2474
T0120,36143
T0121,935
T0122,1242
T0123,1735
T0124,952
T0125,367892
T0126,3748
T0127,1394
T0128a,2676
T0128b,6635
T0129,3463
T0130,11965
T0131,366
T0132a,583
T0132b,561
T0133,2031
T0134,888
T0135,2310
T0136,848
T0137,1202
T0138,438
T0139,760
T0140,1651
T0141,783
T0142a,1262
T0142b,1475
T0143,1872
