work_id,char_count
X0001,343
X0005,12719
X0006,233
X0008,145786
X0010,9744
X0011,1222
X0012,2552
X0013,1187
X0014,2339
X0015,7007
X0017,8501
X0019,298
X0020,4743
X0021,2456
X0023,442
X0024,875
X0025,2240
X0026,31400
X0027,18822
X0028,1062
X0034,203
X0057,603
X0181,3661
X0182,552
X0183,437
X0184,390
X0185,657
X0188,722
X0190,752
X0191,5520
X0192,2264
X0193,605
X0201,1938
X0202,706
X0203,2824
X0204,6192
X0205,3057
X0206,784
X0207,5325
X0208,5367
X0211,22252
X0218,1247
X0220,4074
X0221,443427
X0223,1023501
X0225,61755
X0226,64701
X0227,209059
X0228,8136
X0229,144713
X0230,5037
X0231,133070
X0232,213314
X0234,338678
X0235,124990
X0236,442813
X0237,48903
X0238,23253
X0239,16028
X0240,897258
X0241,16190
X0242,13519
X0243,128578
X0244,12896
X0245,446981
X0246,10910
X0248,205165
X0249,14167
X0250,197917
X0251,26733
X0252,90090
X0253,172382
X0254,69772
X0255,2538
X0256,3452
X0257,51241
X0258,35194
X0259,42828
X0260,34818
X0261,34492
X0262,93605
X0263,102448
X0264,1173
X0265,16700
X0267,120358
X0268,251295
X0269,94122
X0270,131198
X0271,227916
X0272,127863
X0273,28762
X0274,35709
X0275,371483
X0276,34620
X0277,8123
X0278,7453
X0279,159817
X0280,34750
X0281,342383
X0282,55810
X0283,211743
X0284,32321
X0285,211354
X0286,151014
X0287,722229
X0288,128659
X0289,237052
X0290,4398
X0291,174330
X0292,9130
X0293,5040
X0294,11191
X0295,58971
X0296,13874
X0297,33502
X0298,228535
X0299,181471
X0300,95847
X0301,100948
X0302,63074
X0303,296997
X0304,10076
X0305,21703
X0306,325645
X0307,15794
X0308,446116
X0309,27606
X0310,3559
X0311,26493
X0312,2341
X0313,18831
X0314,5878
X0315,13487
X0316,257713
X0317,145629
X0318,273539
X0321,21398
X0322,19678
X0323,125358
X0324,104604
X0325,35451
X0326,189542
X0327,8607
X0328,11331
X0329,148738
X0330,272538
X0331,168514
X0332,137835
X0333,40672
X0334,128700
X0338,310408
X0340,86680
X0343,114358
X0345,17238
X0347,27614
X0348,177669
X0349,14141
X0351,44780
X0352,35844
X0353,60091
X0355,4291
X0356,66282
X0357,19633
X0358,192896
X0359,87098
X0360,154819
X0361,77178
X0362,49778
X0364,98666
X0365,8748
X0366,10139
X0367,305484
X0368,58970
X0369,307376
X0370,20780
X0371,42241
X0372,32527
X0373,33944
X0374,3818
X0375,48932
X0376,13847
X0377,10065
X0378,12036
X0379,2837
X0381,21273
X0382,5771
X0383,21142
X0384,152221
X0388,20456
X0389,2820
X0393,18613
X0394,51481
X0397,16610
X0400,33034
X0401,45846
X0405,14171
X0406,5491
X0407,77440
X0408,3386
X0410,11677
X0411,56838
X0412,6053
X0413,30491
X0414,5224
X0420,30931
X0421,11749
X0422,8461
X0423,45112
X0424,100656
X0425,9455
X0426,10589
X0427,115998
X0428,16144
X0429,4988
X0430,84757
X0431,16664
X0432,13269
X0433,2317
X0434,30602
X0435,15899
X0438,332605
X0439,183672
X0445,11389
X0446,44050
X0447,14724
X0448,48493
X0449,192754
X0451,207062
X0454,11170
X0456,21680
X0459,20697
X0460,1316
X0461,33499
X0462,42031
X0463,1393
X0464,34596
X0465,3591
X0466,15738
X0467,134071
X0468,77647
X0469,33889
X0470,36925
X0471,55316
X0472,15010
X0473,2323
X0474,17483
X0475,36895
X0476,19112
X0477,2401
X0478,20672
X0479,19660
X0480,1580
X0481,4220
X0482,15492
X0483,16698
X0484,4828
X0485,27442
X0486,21373
X0487,73709
X0488,32624
X0489,36123
X0490,19074
X0491,122317
X0492,6995
X0493,22405
X0494,32798
X0495,24353
X0496,18692
X0497,31922
X0498,26332
X0499,36931
X0500,29845
X0501,27687
X0502,32586
X0503,21551
X0504,71086
X0505,56220
X0506,11064
X0507,3139
X0508,11013
X0509,34666
X0510,28769
X0513,59611
X0514,626
X0515,6454
X0516,17675
X0517,114650
X0519,132093
X0520,59860
X0521,8924
X0522,7094
X0524,17577
X0525,60656
X0526,3383
X0528,2189
X0529,4453
X0530,7812
X0531,19867
X0532,44298
X0533,5787
X0534,2353
X0535,7341
X0536,1969
X0537,886
X0538,2515
X0539,901
X0540,4108
X0541,11814
X0542,3537
X0543,719
X0544,5421
X0545,7117
X0546,513
X0547,3884
X0548,8594
X0549,2166
X0550,6643
X0551,5488
X0552,4230
X0553,10695
X0554,3438
X0555,1959
X0556,1126
X0557,8155
X0558,2717
X0559,10346
X0560,3596
X0561,3846
X0562,4352
X0563,3982
X0564,3239
X0565,526
X0566,14717
X0567,3655
X0568,3215
X0569,5689
X0570,5125
X0571,2118
X0572,2298
X0573,2060
X0574,17590
X0575,25986
X0576,4135
X0577,22009
X0582,128105
X0583,24564
X0584,150132
X0585,146885
X0586,355223
X0587,20818
X0588,58516
X0589,48109
X0590,13804
X0591,4460
X0592,106238
X0593,212041
X0594,156491
X0595,37080
X0596,481209
X0597,105847
X0598,55753
X0599,211828
X0600,310179
X0601,7688
X0602,92395
X0603,87063
X0604,194844
X0605,270789
X0606,194152
X0607,199638
X0608,196083
X0609,50405
X0610,11242
X0611,102826
X0612,63518
X0613,26816
X0614,202861
X0615,9257
X0616,278229
X0617,92812
X0618,16601
X0619,258600
X0620,28390
X0621,16466
X0622,9457
X0623,277335
X0624,14565
X0625,320879
X0626,13943
X0627,8267
X0628,119159
X0629,17180
X0630,21430
X0631,278566
X0632,26404
X0633,3554
X0636,142735
X0637,59470
X0638,1001987
X0639,38879
X0640,7315
X0641,4440
X0642,64847
X0643,6923
X0644,3112
X0645,57670
X0646,3376
X0647,9481
X0648,4320
X0649,3486
X0650,29564
X0651,45211
X0652,95298
X0656,35254
X0657,70989
X0658,33709
X0659,609293
X0660,141370
X0661,196172
X0662,373932
X0663,1121
X0664,1954
X0665,7561
X0666,10808
X0669,6094
X0670,10964
X0671,82305
X0672,1340
X0673,8422
X0674,55180
X0675,25607
X0676,34273
X0678,96187
X0679,99132
X0680,10054
X0681,10429
X0682,37616
X0683,18709
X0686,61172
X0687,34523
X0690,17305
X0691,32523
X0692,14100
X0693,14955
X0694,95195
X0695,90062
X0696,5266
X0697,134218
X0698,13722
X0699,88166
X0700,137506
X0702,11512
X0703,6725
X0704,62371
X0705,25399
X0706,2394
X0707,11782
X0708,50741
X0709,216954
X0712,22698
X0713,31911
X0714,420457
X0715,5020
X0716,13527
X0717,167636
X0718,42366
X0719,181676
X0720,202381
X0721,28657
X0722,12434
X0723,9144
X0724,94981
X0725,8430
X0726,149546
X0727,24445
X0728,299716
X0729,1639
X0730,204847
X0731,422208
X0732,112822
X0733,423847
X0734,30218
X0735,375703
X0736,635992
X0737,671227
X0738,41336
X0740,12930
X0741,1392
X0742,2890
X0743,136832
X0744,350131
X0745,15027
X0746,11326
X0747,60659
X0748,91129
X0749,12476
X0750,54221
X0751,61163
X0753,180800
X0754,1797
X0755,22078
X0757,53435
X0759,30492
X0762,39948
X0763,44547
X0764,54160
X0765,38437
X0766,39108
X0767,20841
X0768,230847
