work_id,char_count
Y0032,170766
Y0031,114495
Y0005,176613
Y0002,89781
Y0003,88228
Y0004,62712
Y0030,633341
Y0033,273734
Y0042,121264
Y0041,80622
Y0028,105087
Y0017,71139
Y0010,68305
Y0019,106178
Y0026,91500
Y0021,73229
Y0040,147955
Y0020,82922
Y0018,73558
Y0027,90805
Y0011,88715
Y0029,87753
Y0016,132717
Y0035,464479
Y0008,88631
Y0001,73818
Y0006,176320
Y0037,98639
Y0007,133806
Y0036,90471
Y0034,243982
Y0009,94875
Y0013,154103
Y0014,121548
Y0022,132268
Y0025,150590
Y0038,181587
Y0024,136972
Y0023,124642
Y0015,81083
Y0012,147953
Y0039,77864
