work_id,char_count
ZW0073a,5284
ZW0073b,2196
ZW0073c,480
ZW0073g,8564
ZW0073f,7823
ZW0073d,5883
ZW0073e,2231
ZW0073h,8657
ZW0072,7993
ZW0076,7335
ZW0077,17106
ZW0075,9191
ZW0074,41986
ZW0058,4146
ZW0065,19271
ZW0066,9333
ZW0062,27076
ZW0063,33816
ZW0061,15909
ZW0060,1728
ZW0064h,4867
ZW0064g,401
ZW0064f,272
ZW0064d,183
ZW0064e,326
ZW0064a,1260
ZW0064b,136
ZW0064c,169
ZW0059a,2031
ZW0059b,274
ZW0051,51494
ZW0052,26883
ZW0053,12042
ZW0057,6169
ZW0056,2365
ZW0054,4008
ZW0055,3560
ZW0001,3060
ZW0016,15938
ZW0002,2357
ZW0003,2542
ZW0013,2861
ZW0007,32891
ZW0006,11874
ZW0012,1663
ZW0004,1330
ZW0010,4449
ZW0011,1982
ZW0005,13768
ZW0008,23518
ZW0015a,2147
ZW0009,3582
ZW0015b,771
ZW0015c,774
ZW0014c,375
ZW0014b,255
ZW0015d,589
ZW0014a,968
ZW0068,74022
ZW0069,2938
ZW0070,14687
ZW0071,8453
ZW0067,13062
ZW0037,3148
ZW0043b,6089
ZW0036,1416
ZW0034,562
ZW0043a,1747
ZW0035,142
ZW0033,119892
ZW0040,5565
ZW0041,11761
ZW0042,2806
ZW0044,17051
ZW0038,472
ZW0039,2926
ZW0025,45986
ZW0024,4424
ZW0030,15414
ZW0026,601
ZW0032,9228
ZW0027,1539
ZW0023,8833
ZW0029,35501
ZW0028,8463
ZW0031a,3261
ZW0031c,2899
ZW0031b,2385
ZW0031e,2778
ZW0031d,2686
ZW0018a,1532
ZW0018b,1529
ZW0019,42788
ZW0022,2192
ZW0020,30929
ZW0021,60852
ZW0017,7488
ZW0046,31213
ZW0047,9502
ZW0045,2560
ZW0050,7849
ZW0049,29078
ZW0048,9844
