unicode,char,ver,frequence
U+0009,	,1.1,939311
U+000A,"
",1.1,13563306
U+0020, ,1.1,568170
U+0022,"""",1.1,297
U+0023,#,1.1,2
U+0024,$,1.1,1
U+0025,%,1.1,33
U+0026,&,1.1,90
U+0027,',1.1,1418
U+0028,(,1.1,41625
U+0029,),1.1,41625
U+002A,*,1.1,186
U+002B,+,1.1,112
U+002C,",",1.1,79097
U+002D,-,1.1,88518
U+002E,.,1.1,148683
U+002F,/,1.1,7529
U+0030,0,1.1,152216
U+0031,1,1.1,179756
U+0032,2,1.1,121964
U+0033,3,1.1,85944
U+0034,4,1.1,87164
U+0035,5,1.1,90995
U+0036,6,1.1,63633
U+0037,7,1.1,59998
U+0038,8,1.1,62101
U+0039,9,1.1,65436
U+003A,:,1.1,4375
U+003B,;,1.1,3574
U+003C,<,1.1,3
U+003D,=,1.1,377
U+003E,>,1.1,21
U+003F,?,1.1,380
U+0040,@,1.1,4899
U+0041,A,1.1,55361
U+0042,B,1.1,403686
U+0043,C,1.1,422758
U+0044,D,1.1,10562
U+0045,E,1.1,51920
U+0046,F,1.1,1743
U+0047,G,1.1,3515
U+0048,H,1.1,4545
U+0049,I,1.1,23007
U+004A,J,1.1,3931
U+004B,K,1.1,24805
U+004C,L,1.1,12721
U+004D,M,1.1,24986
U+004E,N,1.1,25839
U+004F,O,1.1,2331
U+0050,P,1.1,25265
U+0051,Q,1.1,4512
U+0052,R,1.1,8728
U+0053,S,1.1,27283
U+0054,T,1.1,83841
U+0055,U,1.1,4601
U+0056,V,1.1,12360
U+0057,W,1.1,8548
U+0058,X,1.1,20636
U+0059,Y,1.1,1899
U+005A,Z,1.1,5545
U+005B,[,1.1,7390
U+005C,\,1.1,1
U+005D,],1.1,7391
U+005E,^,1.1,21
U+005F,_,1.1,32706
U+0060,`,1.1,87
U+0061,a,1.1,417010
U+0062,b,1.1,76404
U+0063,c,1.1,89384
U+0064,d,1.1,105971
U+0065,e,1.1,184070
U+0066,f,1.1,20080
U+0067,g,1.1,39530
U+0068,h,1.1,130393
U+0069,i,1.1,258398
U+006A,j,1.1,15916
U+006B,k,1.1,51612
U+006C,l,1.1,66553
U+006D,m,1.1,60864
U+006E,n,1.1,228164
U+006F,o,1.1,173362
U+0070,p,1.1,114831
U+0071,q,1.1,191
U+0072,r,1.1,168445
U+0073,s,1.1,126820
U+0074,t,1.1,194306
U+0075,u,1.1,78356
U+0076,v,1.1,72965
U+0077,w,1.1,16644
U+0078,x,1.1,10617
U+0079,y,1.1,69736
U+007A,z,1.1,3482
U+007B,{,1.1,2
U+007C,|,1.1,130
U+007D,},1.1,1
U+007E,~,1.1,455
U+00A7,§,1.1,1628
U+00B0,°,1.1,74
U+00B1,±,1.1,1
U+00B7,·,1.1,5
U+00D1,Ñ,1.1,13
U+00D7,×,1.1,299
U+00DC,Ü,1.1,6
U+00E0,à,1.1,125
U+00E1,á,1.1,7
U+00E2,â,1.1,598
U+00E4,ä,1.1,4
U+00E6,æ,1.1,1
U+00E9,é,1.1,29
U+00EA,ê,1.1,28
U+00ED,í,1.1,1
U+00EF,ï,1.1,3
U+00F1,ñ,1.1,6734
U+00F3,ó,1.1,4
U+00F4,ô,1.1,17
U+00F6,ö,1.1,3
U+00F9,ù,1.1,82
U+00FA,ú,1.1,1
U+00FB,û,1.1,19
U+00FC,ü,1.1,22
U+0100,Ā,1.1,1241
U+0101,ā,1.1,81488
U+010B,ċ,1.1,1
