char,count
不,3449527
無,2813281
一,2661025
是,2489467
有,2429935
之,2164906
者,2090899
如,1989795
法,1976549
為,1908354
故,1775074
二,1657707
生,1636767
三,1567915
此,1545540
佛,1535376
所,1488433
以,1450069
也,1422645
云,1355427
人,1323084
中,1244808
於,1233393
大,1228481
心,1208096
得,1190388
若,1184130
說,1128612
而,1091866
十,1071219
諸,1069288
相,1059695
行,1024828
名,988867
見,930961
即,906347
何,896300
四,889921
師,889049
非,875311
等,870121
言,867581
曰,867114
上,857563
時,843841
來,834283
道,827596
自,824397
其,814576
明,807748
知,793264
能,762430
世,757848
菩,744614
亦,735888
作,723697
眾,719737
我,706963
經,706879
下,688999
薩,674954
五,669305
身,661124
切,658257
子,629237
善,620205
因,617840
謂,603576
在,598144
緣,597489
至,596724
成,592990
第,588664
可,586423
智,585318
處,584185
天,580290
性,572326
應,571360
界,561040
種,558785
分,554949
出,552254
義,548968
淨,546679
彼,544168
地,538885
空,530938
與,528285
羅,526842
後,526376
正,524204
別,522369
前,519929
問,519880
今,514441
門,500774
則,495105
方,486167
事,481147
受,478489
初,477515
已,476960
本,475893
僧,462203
皆,460751
王,458262
然,456906
入,453255
觀,450389
六,450299
住,448600
意,448087
又,447558
當,442919
同,442187
文,436827
多,432590
依,421037
修,419958
山,418294
起,417874
識,416748
解,416729
色,410095
未,407480
現,407129
日,403975
真,400361
復,399243
論,398947
從,398212
釋,391908
聞,390178
乃,384495
欲,381620
教,377492
實,375702
及,375382
念,369412
八,366041
滅,364227
定,360651
離,359228
或,356511
的,351705
便,350910
果,350702
常,350479
德,345122
隨,343707
通,343228
根,339153
七,337781
尊,323959
次,321106
比,319871
覺,316158
由,313189
令,309764
阿,306909
他,304183
提,304066
去,303759
業,302431
清,302078
禪,298856
用,297552
異,296374
戒,295992
難,294103
斷,293035
具,292638
樂,287692
體,283305
丘,282997
合,282876
持,281687
苦,281298
語,280590
利,278576
間,276251
乘,275468
理,274333
過,272636
光,270119
摩,268302
汝,266658
盡,264324
聲,261564
慧,261026
量,261000
年,258375
外,254219
力,252750
南,249151
聖,247569
發,244525
勝,243935
取,243628
餘,243410
答,242971
百,242703
立,241256
學,240937
長,239745
了,238140
家,235791
句,235304
思,233097
安,232724
藏,231860
唯,231130
化,230796
千,230647
寶,230449
華,230028
波,229436
麼,229352
爾,227916
雖,227642
惡,227063
金,225764
但,225578
反,222658
證,222650
轉,222105
境,221683
著,221479
信,220059
月,220024
耶,219906
水,219824
九,218727
妙,218694
國,217694
死,217068
神,216981
須,216900
重,215934
足,213320
顯,213287
卷,212163
眼,210759
向,210752
想,210151
先,208887
那,208296
就,207469
和,205275
願,202920
開,202550
白,202368
食,201982
圓,201578
求,198988
結,197607
會,195365
萬,194843
對,194647
俱,193775
音,193481
示,193322
廣,193279
頭,193095
既,192006
攝,189660
宗,189337
破,187731
施,186978
物,183682
字,182638
脫,180963
陀,180572
小,179534
內,179430
度,178871
引,178230
尼,178214
深,178191
婆,176357
品,175182
數,174698
還,174329
沙,173542
嚴,173049
捨,171792
功,171187
般,166851
主,166047
流,165614
各,165290
舉,164452
衣,164014
位,162282
諦,160137
老,159537
雲,159498
舍,159449
海,158864
妄,157658
迦,156994
惱,156858
歸,156676
喜,156508
土,156467
命,155405
寺,154245
風,154088
更,153732
情,153172
滿,152851
居,152445
甚,152407
將,151157
槃,151145
執,150307
總,149378
香,149166
尚,149019
報,148870
堂,148751
集,148268
請,147858
涅,145524
進,144446
塵,144099
記,143989
增,143140
共,143125
使,142456
坐,142152
往,140727
要,140510
普,139842
動,139215
西,139093
到,138422
除,138225
夫,137983
必,136492
女,136165
悉,135738
手,134528
遠,134286
止,134278
訶,134162
竟,133930
古,133442
愛,133018
邊,132893
悟,132793
罪,132783
福,131047
約,130812
高,129758
傳,129631
供,129555
士,129441
兩,129282
祖,129042
耳,128775
禮,128726
失,128367
終,128365
稱,127778
指,127321
凡,126687
且,125862
漏,125484
矣,124198
平,123424
少,123401
達,123142
蜜,122656
梵,122552
猶,122391
養,122126
寂,122117
始,121196
龍,120944
照,120936
煩,120620
伽,120462
疑,120205
變,119397
火,119377
習,118696
部,118434
益,117810
類,116870
座,116812
護,116676
喻,116618
夜,116605
彌,115971
頌,115950
精,115196
遍,114067
慈,113830
染,113034
極,112827
州,112154
偈,111330
犯,111153
莫,110758
最,110457
劫,109939
輪,109755
親,109714
疏,109212
好,109001
差,108534
障,108342
公,108107
直,108075
這,106184
目,105828
微,105556
東,105494
昧,105026
悲,104672
病,104400
順,104221
惟,104115
林,104105
樹,104019
口,103927
書,103797
殊,103096
靜,102314
形,102195
趣,102188
虛,102156
似,101010
觸,100753
漢,100388
豈,100387
貪,99697
首,99645
律,99582
元,99535
聽,99528
造,98240
機,97196
忍,97176
斯,96054
賢,95554
母,95187
壞,94910
假,94302
譯,94192
面,93715
乎,93674
石,93650
城,93399
礙,92686
邪,92561
久,92289
帝,91836
告,91753
男,91311
壽,90870
剛,90515
譬,90270
近,89816
略,89568
花,89401
剎,89351
加,88936
誦,88680
獨,87717
放,87359
弟,86973
治,86605
敬,86493
印,86215
支,86154
屬,85947
許,85754
全,85722
計,85472
惑,85206
俗,84502
吾,84033
退,83947
太,83771
己,83485
都,82312
布,81892
密,81567
頂,81314
父,79135
遂,78845
曾,78116
莊,77430
落,77274
息,77113
于,76794
像,76222
參,75853
陰,75550
靈,75238
裏,75216
只,74923
伏,74767
議,74564
箇,74213
○,73935
底,73909
魔,73814
看,73714
殺,73547
迷,73518
尋,73474
並,73400
究,73223
誰,73188
興,72752
蘊,72376
路,72292
被,72173
違,72012
打,71415
設,71376
絕,71364
奉,70841
味,70531
玄,70411
表,69871
墮,69756
易,69607
葉,69278
半,68956
藥,68760
永,68488
儀,68321
決,67854
倒,67743
錄,67339
末,66960
木,66911
新,66829
辨,66816
熟,66787
志,66493
昔,66312
散,66036
哉,65949
周,65847
聚,65579
氣,65440
雜,65308
際,65063
威,64656
讚,64364
塔,64295
隱,64256
建,64178
虗,64172
黃,63623
雨,63343
北,63318
沒,63260
覆,62845
馬,62566
亂,62542
號,62501
感,62143
畢,61845
迴,61609
毘,61423
望,61370
磨,61247
河,61151
草,60987
制,60761
輕,60632
某,60534
鬼,60393
遊,60392
宿,59969
夢,59964
財,59754
歲,59487
歡,59479
蓮,59382
却,59182
徧,59071
獄,58812
續,58766
恒,58683
授,58586
漸,58051
右,57823
含,57730
愚,57657
象,57427
幻,57390
祇,57259
燈,57148
畏,57139
蓋,57039
a,56805
標,56787
繫,56664
杖,56400
勤,56364
青,56081
遮,55969
歎,55768
鉢,55530
癡,55362
臨,55242
超,55206
細,55077
旨,55059
露,54879
鼻,54865
待,54809
章,54702
代,54377
幾,54194
雪,54161
濟,53992
容,53973
里,53945
齊,53778
牛,53501
頓,53188
雙,52705
堅,52414
宣,52363
承,52361
你,52343
存,52328
權,52187
窮,52151
影,52105
特,51889
△,51686
室,51677
致,51558
述,51474
囉,51443
況,51265
忽,51116
任,50819
端,50798
慮,50382
什,50039
舌,49934
舊,49633
丈,49571
宮,49447
調,49357
悔,49311
陽,49105
獲,49081
唐,48814
害,48687
珠,48666
勸,48581
1,48532
吉,48498
節,48411
氏,48214
越,48199
良,47934
忘,47927
徒,47908
朝,47890
縛,47536
互,47526
瞋,47515
據,47448
春,47446
喝,46957
拈,46885
資,46818
恩,46809
守,46730
焉,46696
遇,46517
江,46502
置,46355
宜,46277
乞,46202
童,46116
笑,45930
甲,45852
眠,45820
演,45488
恐,45339
□,45303
