A000001,金總持
A000002,𧧌震
A000003,鬱楞迦
A000004,畺良耶舍
A000005,鑑堂一
A000007,一如
A000008,釋一行
A000009,一志
A000010,一見
A000011,一念
A000012,一松
A000014,一然
A000017,丁元公
A000018,九師
A000019,了元
A000020,了心
A000021,了因
A000022,了見
A000023,了亮
A000024,了南
A000025,了垠
A000026,了貞
A000027,了悟
A000028,了根
A000031,了能
A000035,了然
A000036,了童
A000037,了舜
A000038,了圓
A000039,了廣
A000040,了禪
A000041,了覺
A000044,三昧蘇嚩羅
A000045,三寶尊
A000046,上思
A000047,于頔
A000048,士洵
A000049,士慘
A000050,士衡
A000051,大文
A000053,目犍連
A000055,大佑
A000056,大勇
A000057,大建
A000058,大香
A000060,普光
A000061,釋大惠
A000062,笑隱大訢
A000063,大圓
A000064,大義
A000065,大韶
A000066,大樞
A000068,大機
A000069,大壑
A000071,大隱
A000072,大璸
A000074,大顛祖師
A000075,大覺
A000076,大觀
A000077,釋無學
A000080,子和
A000081,子昇
A000082,子昶
A000083,子真
A000084,子淳
A000085,子璿
A000088,尸陀槃尼
A000089,尸羅達摩
A000091,工布查布
A000092,弋咸
A000093,才良
A000094,不可思議
A000095,不空
A000096,中孚
A000097,中野達慧
A000099,中端
A000104,仁安
A000106,仁岳
A000108,仁勇
A000110,仁潮
A000111,今辯
A000112,今釋
A000113,介諶
A000114,元來
A000115,元奇
A000117,元省
A000118,元悟
A000120,元浩
A000121,元偉
A000122,元康
A000123,元勗
A000124,元清
A000126,元皓
A000127,元愷
A000128,元敬
A000129,元照
A000130,元瑜
A000131,元靖
A000132,元粹
A000133,元樞
A000134,元復
A000135,元賢
A000136,元曉
A000137,元寶
A000138,允堪
A000139,清辨
A000140,勿提提羼魚
A000141,及藏主
A000142,天頙
A000143,天友
A000146,天息災
A000148,世親
A000149,明成祖朱棣
A000150,太泉
A000151,太靖
A000152,太賢
A000153,幻敏
A000154,幻輪
A000155,心亮
A000156,心泰
A000157,心圓
A000158,心寧
A000160,支法度
A000161,支施侖
A000163,支婁迦讖
A000164,支謙
A000165,支曜
A000166,文才
A000168,文冲
A000169,文度
A000170,文軌
A000171,文郁
A000172,文玹
A000173,文朗
A000174,文益
A000175,文素
A000176,文晟
A000177,文康
A000178,文琇
A000179,文智
A000181,文斌
A000183,文煥
A000184,文暐
A000186,文謙
A000187,文寶
A000188,文藻
A000189,文闡
A000190,方澤
A000191,方醒
A000193,日新
A000194,日稱
A000199,月婆首那
A000200,木增
A000201,火蓮
