id,title,byline
A1057,新譯大方廣佛華嚴經音義,唐 慧菀述
A1267,大唐開元釋教廣品歷章,唐 玄逸撰
A1490,天聖釋教總錄,宋 惟淨等編修
A1493,大中祥符法寶錄,宋 楊億等編修
A1494,景祐新修法寶錄,宋 呂夷簡等編修
A1504,佛說大乘僧伽吒法義經,宋 金總持等譯
A1505,佛說清淨毘奈耶最上大乘經,宋 智吉祥等譯
A1548,因明論理門十四過類疏,唐 窺基撰
A1561,瑜伽師地論義演,唐 清素．澄淨述
B0001,均如大師華嚴學全書,均如著　金知見編
B0002,華嚴經疏論纂要,道霈編
B0003,南傳長部經典,江鍊百譯
B0004,南傳中部經典,芝峯譯
B0005,南傳小部經典,夏丏尊譯
B0006,泰國大藏經小部經,黃謹良譯
B0007,發趣論,范寄東譯
B0008,大發趣論註,覺音造　范寄東譯
B0009,冠導阿毗達磨俱舍論,佐伯旭雅編
B0010,南傳轉法輪經,丘哌博譯
B0011,轉法輪經,岫廬譯
B0012,三寶經,法舫譯
B0013,吉祥經,法舫譯
B0014,婆羅門正法經,法舫譯
B0015,南傳羯臘摩經,丘寶光．徐鄂雲同譯
B0016,南傳大悲經,法舫譯
B0017,南傳法句經,了參譯
B0018,南傳大般湼槃經,巴宙譯
B0019,南傳念安般經,湯用彤譯
B0020,隨念三寶經淺說,法尊口述 雲根記
B0021,毒語心經,白隱慧鶴註釋 南天棒鄧州提唱
B0022,新譯薄伽梵母智慧到彼岸心經詮釋,貢噶呼圖克圖譯
B0023,金剛般若波羅蜜經講義,江味農著
B0024,佛說阿彌陀經註釋會要,鳩摩羅什譯　法舫譯
B0025,阿毗達摩攝義論,阿耨樓陀造　法舫譯
B0026,四分比丘尼戒本註解,佛瑩編
B0027,瑜伽師地論戒品纂釋,宗喀巴釋論　湯薌銘譯纂
B0028,菩提正道菩薩戒論,宗喀巴造　湯薌銘譯
B0029,菩薩戒品釋,宗喀巴造　法尊譯
B0030,現觀莊嚴論中八品七十義略解,法尊述
B0031,現觀莊嚴論略釋,彌勒造頌 法尊譯釋
B0032,七十空性論科攝,龍樹造 法尊譯 弘悲科攝
B0033,大乘修心七義論釋,無著賢造 慧海等譯
B0034,辨法法性論,彌勒造 法尊譯
B0035,西藏傳本攝大乘論,無著造 呂澂譯
B0036,三自性論,世親造 劉孝蘭譯
