work_id,title,byline,creators,creators_with_id
B0001,均如大師華嚴學全書(第10卷-第20卷),均如著　金知見編,"均如,金知見",均如(A034207);金知見(A032660)
B0002,華嚴經疏論纂要(第86卷-第120卷),道霈編,道霈,道霈(A001551)
B0003,南傳長部經典,江鍊百譯,江鍊百,江鍊百(A000390)
B0004,南傳中部經典,芝峯譯,芝峯,芝峯(A000769)
B0005,南傳小部經典,夏丏尊譯,夏丏尊,夏丏尊(A000903)
B0006,泰國大藏經小部經,黃謹良譯,黃謹良,黃謹良(A035002)
B0007,發趣論,范寄東譯,范寄東,范寄東(A004850)
B0008,大發趣論註,覺音造　范寄東譯,"覺音,范寄東",覺音(A016340);范寄東(A004850)
B0009,冠導阿毗達磨俱舍論,佐伯旭雅編,佐伯旭雅,佐伯旭雅(A034211)
B0010,南傳轉法輪經,丘哌博譯,丘哌博,丘哌博(A034215)
B0011,轉法輪經,岫廬譯,岫廬,岫廬(A034218)
B0012,三寶經,法舫譯,法舫,法舫(A007860)
B0013,吉祥經,法舫譯,法舫,法舫(A007860)
B0014,婆羅門正法經,法舫譯,法舫,法舫(A007860)
B0015,南傳羯臘摩經,丘寶光．徐鄂雲同譯,"丘寶光,徐鄂雲",丘寶光(A034219);徐鄂雲(A034220)
B0016,南傳大悲經,法舫譯,法舫,法舫(A007860)
B0017,南傳法句經,了參譯,了參,了參(A024157)
B0018,南傳大般湼槃經,巴宙譯,巴宙,巴宙(A032558)
B0019,南傳念安般經,湯用彤譯,湯用彤,湯用彤(A024596)
B0020,隨念三寶經淺說,法尊口述 雲根記,"法尊,雲根",法尊(A004774);雲根(A034221)
B0021,毒語心經,白隱慧鶴註釋 南天棒鄧州提唱,"白隱慧鶴,南天棒鄧州",白隱慧鶴(A000308);南天棒鄧州(A029511)
B0022,新譯薄伽梵母智慧到彼岸心經詮釋,貢噶呼圖克圖譯,貢噶呼圖克圖,貢噶呼圖克圖(A034224)
B0023,金剛般若波羅蜜經講義,江味農著,江味農,江味農(A000389)
B0024,佛說阿彌陀經註釋會要,鳩摩羅什譯　法舫譯,"鳩摩羅什,法舫",鳩摩羅什(A001583);法舫(A007860)
B0025,阿毗達摩攝義論,阿耨樓陀造　法舫譯,"阿耨樓陀,法舫",阿耨樓陀(A005158);法舫(A007860)
B0026,四分比丘尼戒本註解,佛瑩編,佛瑩,佛瑩(A034226)
B0027,瑜伽師地論戒品纂釋,宗喀巴釋論　湯薌銘譯纂,"宗喀巴,湯薌銘",宗喀巴(A023413);湯薌銘(A024044)
B0028,菩提正道菩薩戒論,宗喀巴造　湯薌銘譯,"宗喀巴,湯薌銘",宗喀巴(A023413);湯薌銘(A024044)
B0029,菩薩戒品釋,宗喀巴造　法尊譯,"宗喀巴,法尊",宗喀巴(A023413);法尊(A004774)
B0030,現觀莊嚴論中八品七十義略解,法尊述,法尊,法尊(A004774)
B0031,現觀莊嚴論略釋,彌勒造頌 法尊譯釋,"彌勒,法尊",彌勒(A001428);法尊(A004774)
B0032,七十空性論科攝,龍樹造 法尊譯 弘悲科攝,"龍樹,法尊,弘悲",龍樹(A001482);法尊(A004774);弘悲(A034237)
B0033,大乘修心七義論釋,無著造 慧海等譯,"無著,慧海",無著(A001318);慧海(A034238)
B0034,辨法法性論,彌勒造 法尊譯,"彌勒,法尊",彌勒(A001428);法尊(A004774)
B0035,西藏傳本攝大乘論,無著造 呂澂譯,"無著,呂澂",無著(A001318);呂澂(A007178)
B0036,三自性論,世親造 劉孝蘭譯,"世親,劉孝蘭",世親(A000148);劉孝蘭(A034239)
B0037,集量論釋略抄,呂澂輯,呂澂,呂澂(A007178)
B0038,安慧三十唯識釋略抄,呂澂輯,呂澂,呂澂(A007178)
B0039,觀所緣釋論會譯,呂澂．印滄編,"呂澂,印滄",呂澂(A007178);印滄(A034240)
B0040,集量論略解,陳那著 法尊譯編,"陳那,法尊",陳那(A001162);法尊(A004774)
B0041,正理滴論（譯自梵文本）,法稱著 王森譯,"法稱,王森",法稱(A000734);王森(A034243)
B0042,正理滴論（譯自西藏文本）,法稱著 楊化群譯,"法稱,楊化群",法稱(A000734);楊化群(A034244)
B0043,釋量論略解,法稱著 僧成釋 法尊譯,"法稱,僧成,法尊",法稱(A000734);僧成(A034246);法尊(A004774)
B0044,入中論善顯密意疏,宗喀巴造 法尊譯,"宗喀巴,法尊",宗喀巴(A023413);法尊(A004774)
B0045,入中論講記,月稱造頌 法尊譯講,"月稱,法尊",月稱(A016747);法尊(A004774)
B0046,中論略義,宗喀巴著 潭影譯,"宗喀巴,潭影",宗喀巴(A023413);潭影(A034249)
B0047,中論文句釋,僧成釋 常浩譯,僧成釋 常浩,僧成(A034246);常浩(A034256)
B0048,辨了不了義善說藏論,宗喀巴造 法尊譯,"宗喀巴,法尊",宗喀巴(A023413);法尊(A004774)
B0049,菩提道炬論,阿底霞造 超一譯,"阿底霞,超一",阿底霞(A015038);超一(A034269)
B0050,地道建立,三寶無畏王造 法尊譯,"三寶無畏王,法尊",三寶無畏王(A034270);法尊(A004774)
B0051,菩提道次恒修教授,札迦說 法尊譯,"札迦,法尊",札迦(A034273);法尊(A004774)
B0052,緣起讚,宗喀巴著 法尊譯,"宗喀巴,法尊",宗喀巴(A023413);法尊(A004774)
B0053,集諸學頌,寂靜造 超一譯,"寂靜,超一",寂靜(A034274);超一(A034269)
B0054,菩提道次第論攝頌,宗喀巴造 超一譯,"宗喀巴,超一",宗喀巴(A023413);超一(A034269)
B0055,菩提道次第論極略頌,宗喀巴著 超一譯,"宗喀巴,超一",宗喀巴(A023413);超一(A034269)
B0056,西藏法寶貫珠,達瓦桑杜譯英 伊文思溫慈編註 趙洪鑄譯漢,"達瓦桑杜,伊文思溫慈,趙洪鑄",達瓦桑杜(A034276);伊文思溫慈(A034277);趙洪鑄(A034278)
B0057,密宗道次第論,克主著 法尊譯,"克主,法尊",克主(A034280);法尊(A004774)
B0058,涅般道大手印瑜伽法要釋,白蓮花造 光明心譯,"白蓮花,光明心",白蓮花(A034281);光明心(A034282)
B0059,明行道六成就法,珀瑪迦爾著 張妙定蓮菩提金剛正譯,"珀瑪迦爾,張妙定蓮菩提金剛正",珀瑪迦爾(A034283);張妙定蓮菩提金剛正(A034284)
B0060,頗哇心要轉識自在法,達瓦桑杜譯英 伊文思溫慈纂集 張妙定蓮菩提金剛正譯漢,"達瓦桑杜,伊文思溫慈,張妙定蓮菩提金剛正",達瓦桑杜(A034276);伊文思溫慈(A034277);張妙定蓮菩提金剛正(A034284)
B0061,椎擊三要訣勝法解,大善解功德主著 貢噶傳 滿空譯,"大善解功德主,貢噶,滿空",大善解功德主(A034287);貢噶(A034224);滿空(A034290)
B0062,貢噶上師恒河大手印直講,貢噶講,貢噶,貢噶(A034224)
B0063,大密妙義深道六法引導廣論纂要,吉祥造 鍾伯毅纂,"吉祥,鍾伯毅",吉祥(A034294);鍾伯毅(A034291)
B0064,大圓滿,郭元興著 慈威校註,"郭元興,慈威",郭元興(A034296);慈威(A034299)
B0065,菩提道次第略論,宗喀巴著 邢肅芝譯,"宗喀巴,邢肅芝",宗喀巴(A023413);邢肅芝(A034300)
B0066,菩提道次第直講,宗喀巴著 大勇口譯 智湛筆錄,"宗喀巴,大勇,智湛",宗喀巴(A023413);大勇(A004888);智湛(A034301)
B0067,菩提道次第廣論,宗喀巴著 法尊譯,"宗喀巴,法尊",宗喀巴(A023413);法尊(A004774)
B0068,密宗道次第廣論,宗喀巴著 法尊譯,"宗喀巴,法尊",宗喀巴(A023413);法尊(A004774)
B0069,七系付法傳,多羅那他著 郭元興譯,多羅那他著 郭元興,多羅那他(A024388);郭元興(A034296)
B0070,安樂妙寶,金慧暢編,金慧暢,金慧暢(A034303)
B0071,蓮華生大士應化史略,諾那呼圖克圖逞列匠磋譯,諾那呼圖克圖逞列匠磋,諾那呼圖克圖逞列匠磋(A034304)
B0072,阿底峽尊者傳,法尊譯述,法尊,法尊(A004774)
B0073,木納記,惹穹多傑札把著 多傑譯述 張心若筆錄,"惹穹多傑札把,多傑,張心若",惹穹多傑札把(A034308);多傑(A034310);張心若(A034311)
B0074,宗喀巴大師傳,法尊譯述,法尊,法尊(A004774)
B0075,西藏王臣護法記,第五世達賴喇嘛著 郭和卿譯,"第五世達賴喇嘛,郭和卿",第五世達賴喇嘛(A011029);郭和卿(A034314)
B0076,印度佛教史,達喇那他著 王沂暖譯,"達喇那他,王沂暖",達喇那他(A024388);王沂暖(A034315)
B0077,洛陽伽藍記校釋,楊衒之著 周祖謨校釋,"楊衒之,周祖謨",楊衒之(A001444);周祖謨(A034316)
B0078,洛陽伽藍記校注,楊衒之著 范祥雍校注,"楊衒之,范祥雍",楊衒之(A001444);范祥雍(A034317)
B0079,釋氏六帖,義楚集,義楚,義楚(A001474)
B0080,大唐西域記（校點本）,玄奘口述 辯機編纂,"玄奘,辯機",玄奘(A000294);辯機(A001966)
B0081,雙峰山曹侯溪寶林傳（殘卷）,智炬著,智炬,智炬(A001267)
B0082,傳燈玉英集（殘卷）,王隨編,王隨,王隨(A017492)
B0084,藏逸經書標目,密藏編,密藏,密藏(A009414)
B0085,憨山大師年譜疏註,福善記錄 福徵述疏,"福善,福徵",福善(A001631);福徵(A007801)
B0086,南朝寺考,劉世珩著,劉世珩,劉世珩(A034323)
B0087,合訂天台三聖二和詩集,寒山．豐干．拾得原詩 梵琦．濟岳和,"寒山,豐干,拾得,梵琦,濟岳",寒山(A004127);豐干(A005272);拾得(A009211);梵琦(A001082);濟岳(A001854)
B0088,古今圖書集成選輯（下）,"","",""
B0089,太平廣記選輯（卷八十七～一三四）,李昉等編纂,李昉,李昉(A019294)
B0090,酉陽雜俎選輯（前集、續集等六篇）,段成式著,段成式,段成式(A000850)
