work_id,title,byline,creators,creators_with_id
D8724,報恩金剛經文十二段,唐 楊仙鸖撰,楊仙鸖,楊仙鸖(A034554)
D8779,鳩摩羅什法師誦法（後殘）,東晉 釋慧融等集,釋慧融,釋慧融(A034559)
D8838,金剛般若波羅蜜經（註解）,元 釋思聰註解,釋思聰,釋思聰(A034561)
D8842,般若心經註解,日本 釋圓耳撰,釋圓耳,釋圓耳(A034568)
D8859,楞嚴妙指,明 釋弘演撰,釋弘演,釋弘演(A034569)
D8862,楞嚴經四依解,明 釋觀衡述,釋觀衡,釋觀衡(A001993)
D8863,大日經疏指心鈔,唐 釋一行撰,釋一行,釋一行(A000008)
D8864,大日經劫心義章,日本 釋運敞撰,釋運敞,釋運敞(A001496)
D8874,成實論義記（存卷中　前殘）,唐 釋其甲撰,釋其甲,釋其甲(A034572)
D8879,成唯識論訂正,明 釋廣伸撰,釋廣伸,釋廣伸(A001657)
D8880,成唯識論述記序釋,日本 釋善珠撰,釋善珠,釋善珠(A001337)
D8881,菩提心論問題,日本 釋善珠撰,釋善珠,釋善珠(A001337)
D8882,菩提心論口筆,日本 釋實順撰,釋實順,釋實順(A034579)
D8885,因明入正理論後記,清 吳樹虛撰,吳樹虛,吳樹虛(A034583)
D8888,表無表章詮要鈔,唐 釋窺基撰,釋窺基,釋窺基(A001019)
D8889,教相樞要鈔,日本 釋高範撰,釋高範,釋高範(A034584)
D8890,唐三藏法師唯識量質疑錄,清 吳樹虛撰,吳樹虛,吳樹虛(A034583)
D8891,表無表章詳體文集,日本 釋叡尊撰,釋叡尊,釋叡尊(A001839)
D8892,略述法相義依釋,日本 釋高範撰,釋高範,釋高範(A034584)
D8893,法宗原私記,日本 釋龍謙撰,釋龍謙,釋龍謙)(A034585)
D8895,略述法相義,日本 釋良光撰,釋良光,釋良光(A034586)
D8896,唯識義,日本 釋真興撰,釋真興,釋真興(A000961)
D8898,脩大方廣佛華嚴法界觀,唐 釋杜順編,釋杜順,釋杜順(A000525)
D8899,圭峰禪師原人論發微錄,宋 釋淨源撰,釋淨源,釋淨源(A001113)
D8903,天台名目類聚鈔,日本 釋貞舜撰,釋貞舜,釋貞舜(A000876)
D8905,選擇傳弘決疑鈔,日本 釋良忠撰,釋良忠,釋良忠(A000535)
D8913,識知淨土論,日本 弁阿撰,弁阿,弁阿(A001831)
D8930,特賜興禪大燈國師參詳語要,日本 釋妙超撰,釋妙超,釋妙超(A000584)
D8936,正信念佛偈私見聞,日本 釋空誓撰,釋空誓,釋空誓(A034599)
D8942,四家錄,元 釋海島編,釋海島,釋海島(A034600)
D8945,雪峰空和尚外集,宋 釋慧空撰　釋惠然編,"釋慧空,釋惠然",釋慧空(A012804);釋惠然(A034601)
D8948,佛國禪師語錄,元 釋無學撰　釋妙環等編,"釋無學,釋妙環",釋無學(A000077);釋妙環(A000478)
D8951,如來香,清 唐時編,唐時,唐時(A011850)
D8954,儀註備簡,明 釋大惠撰,釋大惠,釋大惠(A000061)
D8980,冥樞會要,宋 釋祖心編,釋祖心,釋祖心(A008470)
D9000,空谷集,明 釋景隆撰,釋景隆,釋景隆(A001245)
D9010,閱藏隨錄,明 王芥庵撰,王芥庵,王芥庵(A007335)
D9021,知儒編,明 周夢秀撰,周夢秀,周夢秀(A034603)
D9025,淨土三部經音義集,日本 釋信瑞撰,釋信瑞,釋信瑞(A000808)
D9031,僧家禮儀文,朝鮮 釋冲絢撰,釋冲絢,釋冲絢(A034604)
