work_id,title,byline,creators,creators_with_id
F0041,比丘尼羯磨經,劉宋 求那跋摩譯,求那跋摩,求那跋摩(A000218)
F0069,因果本起經,宋 求那跋陀羅譯,求那跋陀羅,求那跋陀羅(A000527)
F0088,佛說灌頂章句拔除過罪生死得度經,東晉 帛尸梨密多羅譯,帛尸梨密多羅,帛尸梨密多羅(A000619)
F0089,佛說恒水流樹經,劉宋 天竺三藏求那跋陀羅譯,求那跋陀羅,求那跋陀羅(A000527)
F0100,金剛般若波羅蜜經（御注並序）,唐 玄宗李隆基注,李隆基,李隆基(A000291)
F0248,佛說救護身命經,比丘道真譯,比丘道真,比丘道真(A001527)
F0546,大方廣圓覺修多羅了義經（選錄「附文：金剛禮一本」）,遼 通理大師集,通理大師,通理大師(A022419)
F0761,觀自在菩薩廣大圓滿無礙大悲根本陀羅尼,唐 南天竺國三藏金剛智譯,金剛智,金剛智(A000774)
F1048,一切如來白傘蓋大佛頂陀羅尼,唐 不空譯,不空,不空(A000095)
F1050,聖千手千眼觀自在菩薩摩訶薩廣大圓滿無礙大悲心陀羅尼,唐 不空譯,不空,不空(A000095)
F1056,梵本般若波羅蜜多心經,唐 不空譯,不空,不空(A000095)
F1060,梵本般若波羅蜜多心經,宋 慈賢譯,慈賢,慈賢(A001432)
F1061,大隨求陀羅尼,宋 慈賢譯,慈賢,慈賢(A001432)
F1062,佛頂尊勝陀羅尼,宋 慈賢譯,慈賢,慈賢(A001432)
F1063,一切如來白傘蓋大佛頂陀羅尼,宋 慈賢譯,慈賢,慈賢(A001432)
F1064,大悲心陀羅尼,宋 慈賢譯,慈賢,慈賢(A001432)
F1071,釋教最上乘秘密藏陀羅尼集,行琳集,行琳,行琳(A000420)
F1072,一切佛菩薩名集,德雲集,德雲,德雲(A001684)
F1076,發菩提心戒,石經寺主講經律沙門志仙記,志仙,志仙(A000495)
F1081,一乘法界圖合詩一印,儼法師造,儼法師,儼法師(A001304)
F1082,釋華嚴漩澓偈,南岳般舟道場比丘惟勁釋,惟勁,惟勁(A001066)
F1083,漩澓偈,杜順法師造,杜順法師,杜順法師(A000525)
F1084,健拏標訶一乘修行者秘密義記,大香山隱士釋法藏述,釋法藏,法藏(A032738)
F1098,高上玉皇本行集經髓,儼法師造,儼法師,儼法師(A001304)
F1099,無上玉皇心印經,杜順法師造,杜順法師,杜順法師(A000525)
