work_id,title,byline,creators,creators_with_id
GA0008,重修普陀山志,明 周應賓撰,周應賓,周應賓(A006952)
GA0009,普陀洛迦新志,民國 王亨彥撰,王亨彥,王亨彥(A008920)
GA0010,明州阿育王山志(第9卷-第10卷),明 郭子章撰,郭子章,郭子章(A007230)
GA0011,明州阿育王山續志,清 釋畹荃撰,釋畹荃,釋畹荃(A007237)
GA0017,玉岑山慧因高麗華嚴教寺志,明 李翥撰 清 丁丙補,"李翥,丁丙",李翥(A003575);丁丙(A003576)
GA0032,徑山志(第6卷-第14卷),明 宋奎光撰,宋奎光,宋奎光(A020568)
GA0043,寒山寺志,清 葉昌熾纂,葉昌熾,葉昌熾(A018138)
GA0049,峨眉山志,清 蔣超撰 民國 釋印光重修,"蔣超,釋印光",蔣超(A008868);釋印光(A004777)
GA0062,泉州開元寺志,明 釋元賢撰,釋元賢,釋元賢(A000135)
GA0077,九華山志,民國 釋印光重修,釋印光,釋印光(A004777)
GA0081,清涼山志,民國 釋印光重修,釋印光,釋印光(A004777)
GA0084,雞足山寺志(第7卷-第10卷),明 錢邦纂 清 范承勳增修,"錢邦,范承勳",錢邦(A010589);范承勳(A010540)
GA0086,黃檗山寺志,"","",""
GA0089,天台山方外志(第19卷-第30卷),"","",""
