work_id,title,byline,creators,creators_with_id
JA042,大慧普覺禪師年譜,宋 祖詠編　張掄序　宗演跋,"祖詠,張掄,宗演",祖詠(A000977);張掄(A010113);宗演(A008055)
JA123,起信論疏（選錄「科文」）,宋 子璿脩定,子璿,子璿(A000085)
JA158,密雲禪師語錄,明 圓悟說　如瑩等編,"圓悟,如瑩",圓悟(A003688);如瑩(A003855)
JB005,大方廣佛華嚴經普賢行願品別行疏鈔（選錄「華嚴宗七祖行蹟」及「附錄」）,唐 澄觀別行疏　宗密隨疏鈔,"澄觀,宗密",澄觀(A001755);宗密(A000587)
JB044,諸經日誦集要,佚名,佚名,
JB047,瑜伽集要燄口施食儀,唐 不空譯　西夏 不動金剛重集　清 受登詮次　有圖像四十　緣起,"不空,不動金剛,受登",不空(A000095);不動金剛(A015404);受登(A000555)
JB048,北京五大部直音會韻,明 久隱撰,久隱,久隱(A022511)
JB090,續原教論,明 沈士榮著,沈士榮,沈士榮(A022492)
JB091,道餘錄,明 姚廣孝著並序,姚廣孝,姚廣孝(A001522)
JB095,蕅益三頌,明 智旭述並序　三頌為華嚴．楞嚴．法華　有偶拈問答及重刻自跋,智旭,智旭(A001257)
JB096,周易禪解,明 智旭著,智旭,智旭(A001257)
JB097,天樂鳴空集,明 鮑宗肇述　智旭定,"鮑宗肇,智旭",鮑宗肇(A037255);智旭(A001257)
JB098,黃蘗無念禪師復問,明 深有撰　明聞 刪定,"深有,明聞",深有(A013164);明聞(A037256)
JB103,寒山子詩集,唐 閭丘胤集並序　明 王宗沐序　附拾得．豐干詩,"閭丘胤,王宗沐",閭丘胤(A006334);王宗沐(A019240)
JB109,大藏一覽,明 陳實編　姚舜漁重輯,"陳實,姚舜漁",陳實(A001165);姚舜漁(A037257)
JB110,護法錄,明 宋濂著　袾宏輯　錢謙益訂,"宋濂,袾宏,錢謙益",宋濂(A007271);袾宏(A001394);錢謙益(A001834)
JB116,憨山老人夢遊全集,明 德清撰　福善日錄,"德清,福善",德清(A001681);福善(A001631)
JB118,密藏開禪師遺稿,明 道開著,道開,道開(A009414)
JB120,闢邪集,明 鍾始聲著　大朗序　文分天學初徵及天學再徵　附書柬四則　程啟用跋,"鍾始聲,大朗,程啟用",鍾始聲(A001871);大朗(A001257);程啟用(A037641)
JB122,醒世錄,清 徐昌治輯,徐昌治,徐昌治(A000922)
JB125,先覺宗乘（選錄「帝王問道錄」）,明 郭凝之編,郭凝之,郭凝之(A001771)
JB127,無依道人錄,清 徐昌治著　超悟錄　僧鑑序　附疏稿（原有缺頁）,"徐昌治,超悟,僧鑑",徐昌治(A000922);超悟(A014505);僧鑑(A016559)
JB128,普明禪師牧牛圖頌,明 普明原唱　諸方和韻　嚴大參序　清 如念編目　有圖十,"普明,嚴大參,如念",普明(A011083);嚴大參(A020627);如念(A037258)
JB129,牧牛圖頌,明 普明原輯　性音續集舊跋　清 納信序　明 袾宏序　清 超格序　乾隆四十九年了彙重刊,"普明,性音,納信,袾宏,超格,了彙",普明(A011083);性音(A000632);納信(A037259);袾宏(A001394);超格(A016621);了彙(A011343)
JB134,五家語錄（選錄）,唐 慧然集　明 郭凝之重訂,"慧然,郭凝之",慧然(A001728);郭凝之(A001771)
JB135,石門文字禪,宋 德洪著　原書缺　依民國十年常州天寧寺刻本印,德洪,德洪(A001673)
JB137,趙州和尚語錄,唐 從諗說　文遠記　大參重校　明聲重刻,"從諗,文遠,大參,明聲",從諗(A004475);文遠(A008960);大參(A020627);明聲(A037260)
JB138,雲門匡真禪師語錄,南漢 文偃說　守堅編,"文偃,守堅",文偃(A003703);守堅(A000360)
JB154,松隱唯菴然和尚語錄,明 德然說　慧省編次,"德然,慧省",德然(A010704);慧省(A037261)
JB155,無趣老人語錄,明 如空說　性沖編,"如空,性沖",如空(A010706);性沖(A007841)
JB156,無幻禪師語錄,明 性沖說　慧廣編集,"性沖,慧廣",性沖(A007841);慧廣(A010707)
JB159,天真毒峰善禪師要語,明 本善記　悟深編,"本善,悟深",本善(A015704);悟深(A037262)
JB163,古庭禪師語錄輯略,明 善堅說　各卷首皆題曹溪一滴古庭禪師語錄,善堅,善堅(A001339)
JB164,曹溪一滴,明 周理編　附夢語摘要,周理,周理(A000560)
JB165,大巍禪師竹室集,明 淨倫撰　周理輯　內題曹溪一滴卷六,"淨倫,周理",淨倫(A001105);周理(A000560)
JB166,浮山法句,明 本智撰　周理輯　內題曹溪一滴卷七　前有明 吳應賓塔銘及王舜鼎夢禪語,"本智,周理",本智(A000257);周理(A000560)
JB167,徹庸和尚谷響集,明 徹庸撰　洪如錄　內題曹溪一滴卷八　後附淨土偈一卷,"徹庸,洪如",徹庸(A000560);洪如(A000854)
JB171,天隱和尚語錄,明 圓修說　通問等編,"圓修,通問",圓修(A001410);通問(A013268)
JB173,壽昌無明和尚語錄,明 慧經說　元來集,"慧經,元來",慧經(A003828);元來(A000114)
JB174,天界覺浪盛禪師語錄,明 道盛說　大成．大奇等編,"道盛,大成,大奇",道盛(A007948);大成(A016282);大奇(A016501)
JB175,大溈五峰學禪師語錄,明 如學說　清 智海重刻　周堪賡序　有行實　明 陶汝鼐塔銘,"如學,智海,周堪賡,陶汝鼐",如學(A003855);智海(A001270);周堪賡(A037263);陶汝鼐(A037264)
JB176,大溈密印寺養拙明禪師語錄,清 正明說　智海編　通雲序　陶之典序　有行實　周堪賡塔銘　附大溈四記一卷,"正明,智海,通雲,陶之典,周堪賡",正明(A000266);智海(A001270);通雲(A014742);陶之典(A037265);周堪賡(A037263)
