work_id,title,byline,creators,creators_with_id
N0001,經分別(第5卷-第15卷),通妙譯,通妙,通妙(A024085)
N0002,犍度(第11卷-第22卷),通妙譯,通妙,通妙(A024085)
N0003,附隨,通妙譯,通妙,通妙(A024085)
N0004,長部經典(第24卷-第34卷),通妙譯,通妙,通妙(A024085)
N0005,中部經典(第13卷-第16卷),通妙譯,通妙,通妙(A024085)
N0006,相應部經典(第48卷-第56卷),雲庵譯,雲庵,雲庵(A034994)
N0007,增支部經典(第11卷-第12卷),郭哲彰譯,郭哲彰,郭哲彰(A034995)
N0008,小誦經,悟醒譯,悟醒,悟醒(A034997)
N0009,法句經,悟醒譯,悟醒,悟醒(A034997)
N0010,自說經,悟醒譯,悟醒,悟醒(A034997)
N0011,如是語經,悟醒譯,悟醒,悟醒(A034997)
N0012,經集,雲庵譯,雲庵,雲庵(A034994)
N0013,天宮事經,雲庵譯,雲庵,雲庵(A034994)
N0014,餓鬼事經,雲庵譯,雲庵,雲庵(A034994)
N0015,長老偈經,雲庵譯,雲庵,雲庵(A034994)
N0016,長老尼偈經,雲庵譯,雲庵,雲庵(A034994)
N0017,譬喻經(第40卷-第59卷),悟醒譯,悟醒,悟醒(A034997)
N0018,本生經(第26卷),悟醒譯,悟醒,悟醒(A034997)
N0019,無礙解道(第3卷-第4卷),悟醒譯,悟醒,悟醒(A034997)
N0020,佛種姓經,悟醒譯,悟醒,悟醒(A034997)
N0021,所行藏經,悟醒譯,悟醒,悟醒(A034997)
N0022,大義釋(第11卷-第16卷),悟醒譯,悟醒,悟醒(A034997)
N0023,小義釋,悟醒譯,悟醒,悟醒(A034997)
N0024,法集論,郭哲彰譯,郭哲彰,郭哲彰(A034995)
N0025,分別論(第16卷-第18卷),郭哲彰譯,郭哲彰,郭哲彰(A034995)
N0026,界論,郭哲彰譯,郭哲彰,郭哲彰(A034995)
N0027,人施設論,郭哲彰譯,郭哲彰,郭哲彰(A034995)
N0028,雙論(第8卷-第10卷),郭哲彰譯,郭哲彰,郭哲彰(A034995)
N0029,發趣論(第11卷-第12卷),郭哲彰譯,郭哲彰,郭哲彰(A034995)
N0030,論事(第6卷-第23卷),郭哲彰譯,郭哲彰,郭哲彰(A034995)
N0031,彌蘭王問經(第14卷-第25卷),郭哲彰譯,郭哲彰,郭哲彰(A034995)
N0032,島王統史,悟醒譯,悟醒,悟醒(A034997)
N0033,大王統史,悟醒譯,悟醒,悟醒(A034997)
N0034,小王統史,悟醒譯,悟醒,悟醒(A034997)
N0035,清淨道論(第14卷-第23卷),佛音撰 悟醒譯,"佛音,悟醒",佛音(A016340);悟醒(A034997)
N0036,一切善見律註序,佛音譯述 悟醒譯,"佛音,悟醒",佛音(A016340);悟醒(A034997)
N0037,攝阿毘達磨義論,阿那律陀著 悟醒譯,"阿那律陀,悟醒",阿那律陀(A005158);悟醒(A034997)
N0038,阿育王刻文,悟醒譯,悟醒,悟醒(A034997)
