work_id,title,byline,creators,creators_with_id
P1519,宗門統要正續集(第13卷-第20卷),宋 宗永集　元 清茂續集,宗永;清茂,宗永(A000569);清茂(A001087)
P1573,修懺要旨,宋 知禮述,知禮,知禮(A000756)
P1581,首楞嚴經義海,唐 懷迪證釋　宋 咸輝排經入注,"懷迪,咸輝",懷迪(A001896);咸輝(A000818)
P1590,佛遺教經論疏節要,宋 淨源述,淨源,淨源(A001113)
P1610,大明太宗文皇帝御製序讚文,明 太宗朱棣撰,朱棣,朱棣(A000149)
P1611,諸佛世尊如來菩薩尊者神僧名經(第30卷-第40卷),明 太宗朱棣制,朱棣,朱棣(A000149)
P1612,諸佛世尊如來菩薩尊者名稱歌曲(第51卷),明 太宗朱棣制,朱棣,朱棣(A000149)
P1615,大明三藏法數(第36卷-第38卷),明 一如等編集,一如,一如(A000007)
P1617,妙法蓮華經要解（選錄「要解」本文）(第13卷-第19卷),宋 戒環解,戒環,戒環(A000514)
P1618,大佛頂萬行首楞嚴經會解,唐宋 九師釋　元 惟則會解,"九師,惟則",九師(A000018);惟則(A001064)
P1624,金剛經疏論纂要（選錄「釋金剛經纂要疏科」）,宋 子璿錄,子璿,子璿(A000085)
P1629,天台四教儀集註（選錄「集註」本文）,元 蒙潤集,蒙潤,蒙潤(A001638)
P1630,教乘法數（選錄序文）,明 圓瀞集,圓瀞,圓瀞(A001412)
