work_id,title,byline,creators,creators_with_id
T0001,長阿含經,後秦 佛陀耶舍共竺佛念譯,"佛陀耶舍,竺佛念",佛陀耶舍(A000439);竺佛念(A000435)
T0002,七佛經,宋 法天譯,法天,法天(A000690)
T0003,毘婆尸佛經,宋 法天譯,法天,法天(A000690)
T0004,七佛父母姓字經,失譯,,
T0005,佛般泥洹經,西晉 白法祖譯,白法祖,帛遠(A000305)
T0006,般泥洹經,失譯,,
T0007,大般涅槃經,東晉 法顯譯,法顯,法顯(A000750)
T0008,大堅固婆羅門緣起經,宋 施護等譯,施護,施護(A000844)
T0009,人仙經,宋 法賢譯,法賢,天息災(A000146)
T0010,白衣金幢二婆羅門緣起經,宋 施護等譯,施護,施護(A000844)
T0011,尼拘陀梵志經,宋 施護等譯,施護,施護(A000844)
T0012,大集法門經,宋 施護譯,施護,施護(A000844)
T0013,長阿含十報法經,後漢 安世高譯,安世高,安世高(A000366)
T0014,人本欲生經,後漢 安世高譯,安世高,安世高(A000366)
T0015,帝釋所問經,宋 法賢譯,法賢,天息災(A000146)
T0016,尸迦羅越六方禮經,後漢 安世高譯,安世高,安世高(A000366)
T0017,善生子經,西晉 支法度譯,支法度,支法度(A000160)
T0018,信佛功德經,宋 法賢譯,法賢,天息災(A000146)
T0019,大三摩惹經,宋 法天譯,法天,法天(A000690)
T0020,佛開解梵志阿颰經,吳 支謙譯,支謙,支謙(A000164)
T0021,梵網六十二見經,吳 支謙譯,支謙,支謙(A000164)
T0022,寂志果經,東晉 竺曇無蘭譯,竺曇無蘭,曇無蘭(A001788)
T0023,大樓炭經,西晉 法立共法炬譯,"法立,法炬",法立(A000693);法炬(A000707)
T0024,起世經,隋 闍那崛多等譯,闍那崛多,闍那崛多(A001844)
T0025,起世因本經,隋 達摩笈多譯,達摩笈多,達摩笈多(A001572)
T0026,中阿含經,東晉 瞿曇僧伽提婆譯,瞿曇僧伽提婆,僧伽提婆(A001589)
T0027,七知經,吳 支謙譯,支謙,支謙(A000164)
T0028,園生樹經,宋 施護譯,施護,施護(A000844)
T0029,鹹水喻經,失譯,,
T0030,薩鉢多酥哩踰捺野經,宋 法賢譯,法賢,天息災(A000146)
T0031,一切流攝守因經,後漢 安世高譯,安世高,安世高(A000366)
T0032,四諦經,後漢 安世高譯,安世高,安世高(A000366)
T0033,恒水經,西晉 法炬譯,法炬,
T0034,法海經,西晉 法炬譯,法炬,法炬(A000707)
T0035,海八德經,後秦 鳩摩羅什譯,鳩摩羅什,鳩摩羅什(A001583)
