work_id,title,byline,creators,creators_with_id
ZW0001,天竺國菩提達摩禪師論,方廣錩整理,方廣錩,方廣錩(A033779)
ZW0002,禪策問答,方廣錩整理,方廣錩,方廣錩(A033779)
ZW0003,息諍論,達摩禪師作　方廣錩整理,"達摩禪師,方廣錩",達摩禪師(A001361);方廣錩(A033779)
ZW0004,八種粗重犯墮,馬鳴菩薩造　方廣錩整理,"馬鳴菩薩,方廣錩",馬鳴菩薩(A001003);方廣錩(A033779)
ZW0005,天請問經疏,沙門文軌撰　李際寧整理,"文軌,李際寧",文軌(A000170);李際寧(A034625)
ZW0006,《行事鈔》中分門圖錄,沙門道宣述　蘇軍整理,"道宣,蘇軍",道宣(A001519);蘇軍(A034626)
ZW0007,《阿毗達磨俱舍論實義疏》,尊者安惠造　蘇軍整理,"尊者安惠,蘇軍",安惠(A000371);蘇軍(A034626)
ZW0008,佛為心王菩薩說頭陀經（附註疏）,惠辯禪師註　方廣錩整理,"惠辯禪師,方廣錩",惠辯禪師(A031993);方廣錩(A033779)
ZW0009,佛說孝順子修行成佛經,方廣錩整理,方廣錩,方廣錩(A033779)
ZW0010,最妙勝定經,方廣錩整理,方廣錩,方廣錩(A033779)
ZW0011,佛說水月光觀音菩薩經,方廣錩整理,方廣錩,方廣錩(A033779)
ZW0012,佛說金剛經纂,方廣錩整理,方廣錩,方廣錩(A033779)
ZW0013,大方廣華嚴十惡品經,徐紹強整理,徐紹強,徐紹強(A034632)
ZW0014a,天公經,方廣錩整理,方廣錩,方廣錩(A033779)
ZW0014b,佛說天公經,方廣錩整理,方廣錩,方廣錩(A033779)
ZW0014c,天公經,方廣錩整理,方廣錩,方廣錩(A033779)
ZW0015a,大般涅槃摩耶夫人品經,大德安法師譯　李際寧整理,"大德安法師,李際寧",大德安法師(A034731);李際寧(A034625)
ZW0015b,大般涅槃經佛母品,李際寧整理,李際寧,李際寧(A034625)
ZW0015c,大般涅槃經佛母品,李際寧整理,李際寧,李際寧(A034625)
ZW0015d,大般涅槃經佛為摩耶夫人說偈品經,李際寧整理,李際寧,李際寧(A034625)
ZW0016,關於《禪藏》與敦煌禪籍的若干問題,方廣錩,方廣錩,方廣錩(A033779)
ZW0017,七祖法寶記下卷,華方田整理,華方田,華方田(A034736)
ZW0018a,天竺國菩提達摩禪師論,方廣錩整理,方廣錩,方廣錩(A033779)
ZW0018b,天竺國菩提達摩禪師論,方廣錩整理,方廣錩,方廣錩(A033779)
ZW0019,淨名經集解關中疏卷上,沙門道液集　黎明整理,"沙門道液,黎明",道液(A001531);黎明(A034738)
ZW0020,法華經文外義,李際寧．張曉娟整理,"李際寧,張曉娟",李際寧(A034625);張曉娟(A034740)
ZW0021,諦義證得經,古印度 烏瑪斯伐蒂著　方廣錩譯註,"烏瑪斯伐蒂,方廣錩",烏瑪斯伐蒂(A034744);方廣錩(A033779)
ZW0022,《瑜伽師地論》披尋記敘,韓清淨著　程恭讓整理,"韓清淨,程恭讓",韓清淨(A004891);程恭讓(A034748)
ZW0023,菩薩總持法,上山大峻．袁德領整理,"上山大峻,袁德領",上山大峻(A034755);袁德領(A034757)
ZW0024,大乘起世論,方廣錩整理,方廣錩,方廣錩(A033779)
ZW0025,淨名經集解關中疏卷下,沙門道液述　黎明整理,"道液,黎明",道液(A001531);黎明(A034738)
