典籍編號,典籍名稱,卷數,作譯者,type
A1057,新譯大方廣佛華嚴經音義,2,唐 慧菀述,text
A1267,大唐開元釋教廣品歷章,17,唐 玄逸撰,text
A1490,天聖釋教總錄,2,宋 惟淨等編修,text
A1493,大中祥符法寶錄,16,宋 楊億等編修,text
A1494,景祐新修法寶錄,14,宋 呂夷簡等編修,text
A1504,佛說大乘僧伽吒法義經,3,宋 金總持等譯,text
A1505,佛說清淨毘奈耶最上大乘經,2,宋 智吉祥等譯,text
A1548,因明論理門十四過類疏,1,唐 窺基撰,text
A1561,瑜伽師地論義演,23,唐 清素．澄淨述,text
B0001,均如大師華嚴學全書,20,均如著　金知見編,text
B0002,華嚴經疏論纂要,120,道霈編,text
B0003,南傳長部經典,2,江鍊百譯,text
B0004,南傳中部經典,1,芝峯譯,text
B0005,南傳小部經典,2,夏丏尊譯,text
B0006,泰國大藏經小部經,1,黃謹良譯,text
B0007,發趣論,1,范寄東譯,text
B0008,大發趣論註,1,覺音造　范寄東譯,text
B0009,冠導阿毗達磨俱舍論,30,佐伯旭雅編,text
B0010,南傳轉法輪經,1,丘哌博譯,text
B0011,轉法輪經,1,岫廬譯,text
B0012,三寶經,1,法舫譯,text
B0013,吉祥經,1,法舫譯,text
B0014,婆羅門正法經,1,法舫譯,text
B0015,南傳羯臘摩經,1,丘寶光．徐鄂雲同譯,text
B0016,南傳大悲經,1,法舫譯,text
B0017,南傳法句經,1,了參譯,text
B0018,南傳大般湼槃經,1,巴宙譯,text
B0019,南傳念安般經,1,湯用彤譯,text
B0020,隨念三寶經淺說,1,法尊口述　雲根記,text
B0021,毒語心經,1,白隱慧鶴註釋　南天棒鄧州提唱,text
B0022,新譯薄伽梵母智慧到彼岸心經詮釋,1,貢噶呼圖克圖譯,text
B0023,金剛般若波羅蜜經講義,5,江味農著,text
B0024,佛說阿彌陀經註釋會要,1,鳩摩羅什譯　徐珂輯,text
B0025,阿毗達摩攝義論,1,阿耨樓陀造　法舫譯,text
B0026,四分比丘尼戒本註解,2,佛瑩編,text
B0027,瑜伽師地論戒品纂釋,2,宗喀巴釋論　湯薌銘譯纂,text
B0028,菩提正道菩薩戒論,1,宗喀巴造　湯薌銘譯,text
B0029,菩薩戒品釋,5,宗喀巴造　法尊譯,text
B0030,現觀莊嚴論中八品七十義略解,1,法尊述,text
B0031,現觀莊嚴論略釋,4,彌勒造頌　法尊譯釋,text
