典籍編號,典籍名稱,卷數,作譯者,type
B0001,均如大師華嚴學全書,20,均如著　金知見編,text
B0002,華嚴經疏論纂要,120,道霈編,text
B0003,南傳長部經典,2,江鍊百譯,text
B0004,南傳中部經典,1,芝峯譯,text
B0005,南傳小部經典,2,夏丏尊譯,text
B0006,泰國大藏經小部經,1,黃謹良譯,text
B0007,發趣論,1,范寄東譯,text
B0008,大發趣論註,1,覺音造　范寄東譯,text
B0009,冠導阿毗達磨俱舍論,30,佐伯旭雅編,text
B0010,南傳轉法輪經,1,丘哌博譯,text
B0011,轉法輪經,1,岫廬譯,text
B0012,三寶經,1,法舫譯,text
B0013,吉祥經,1,法舫譯,text
B0014,婆羅門正法經,1,法舫譯,text
B0015,南傳羯臘摩經,1,丘寶光．徐鄂雲同譯,text
B0016,南傳大悲經,1,法舫譯,text
B0017,南傳法句經,1,了參譯,text
B0018,南傳大般湼槃經,1,巴宙譯,text
B0019,南傳念安般經,1,湯用彤譯,text
B0020,隨念三寶經淺說,1,法尊口述　雲根記,text
B0021,毒語心經,1,白隱慧鶴註釋　南天棒鄧州提唱,text
B0022,新譯薄伽梵母智慧到彼岸心經詮釋,1,貢噶呼圖克圖譯,text
B0023,金剛般若波羅蜜經講義,5,江味農著,text
B0024,佛說阿彌陀經註釋會要,1,鳩摩羅什譯　徐珂輯,text
B0025,阿毗達摩攝義論,1,阿耨樓陀造　法舫譯,text
B0026,四分比丘尼戒本註解,2,佛瑩編,text
B0027,瑜伽師地論戒品纂釋,2,宗喀巴釋論　湯薌銘譯纂,text
B0028,菩提正道菩薩戒論,1,宗喀巴造　湯薌銘譯,text
B0029,菩薩戒品釋,5,宗喀巴造　法尊譯,text
B0030,現觀莊嚴論中八品七十義略解,1,法尊述,text
B0031,現觀莊嚴論略釋,4,彌勒造頌　法尊譯釋,text
B0032,七十空性論科攝,1,龍樹造　法尊譯　弘悲科攝,text
B0033,大乘修心七義論釋,1,無著賢造　慧海等譯,text
B0034,辨法法性論,1,彌勒造　法尊譯,text
B0035,西藏傳本攝大乘論,1,無著造　呂澂譯,text
B0036,三自性論,1,世親造　劉孝蘭譯,text
B0037,集量論釋略抄,1,呂澂輯,text
B0038,安慧三十唯識釋略抄,1,呂澂輯,text
B0039,觀所緣釋論會譯,1,呂澂．印滄編,text
B0040,集量論略解,6,陳那著　法尊譯編,text
B0041,正理滴論（譯自梵文本）,1,法稱著　王森譯,text
B0042,正理滴論（譯自西藏文本）,1,法稱著　楊化群譯,text
B0043,釋量論略解,9,法稱著　僧成釋　法尊譯,text
B0044,入中論善顯密意疏,14,宗喀巴造　法尊譯,text
B0045,入中論講記,1,月稱造頌　法尊譯講,text
B0046,中論略義,1,宗喀巴著　潭影譯,text
B0047,中論文句釋,1,僧成釋　常浩譯,text
B0048,辨了不了義善說藏論,5,宗喀巴造　法尊譯,text
B0049,菩提道炬論,1,阿底霞造　超一譯,text
B0050,地道建立,1,三寶無畏王造　法尊譯,text
B0051,菩提道次恒修教授,1,札迦說　法尊譯,text
B0052,緣起讚,1,宗喀巴著　法尊譯,text
B0053,集諸學頌,1,寂靜造　超一譯,text
B0054,菩提道次第論攝頌,1,宗喀巴造　超一譯,text
B0055,菩提道次第論極略頌,1,宗喀巴著　超一譯,text
