典籍編號,典籍名稱,卷數,作譯者
D8679,佛說佛名經（存卷四）,1,
D8680,佛說佛名經（存卷七）,1,
D8701,盂蘭盆經講經文（前殘）,1,
D8724,報恩金剛經文十二段,1,唐 楊仙鸖撰
D8774,羯磨文（前殘）,1,
D8775,式叉摩那尼六法,1,
D8779,鳩摩羅什法師誦法（後殘）,1,東晉 釋慧融等集
D8780,小鈔,1,
D8790,佛性觀（前殘）,1,
D8814,佛頂尊勝陀羅尼等靈異神咒二十道,1,
D8817,佛說觀世音三昧經,1,
D8820,新菩薩經,1,
D8838,金剛般若波羅蜜經（註解）,1,元 釋思聰註解
D8842,般若心經註解,1,日本 釋圓耳撰
D8853,梵網古跡抄,8,
D8859,楞嚴妙指,10,明 釋弘演撰
D8862,楞嚴經四依解,10,明 釋觀衡述
D8863,大日經疏指心鈔,16,唐 釋一行撰
D8864,大日經劫心義章,3,日本 釋運敞撰
D8869,惟教三昧（存卷下　前殘）,1,
D8871,□者眷屬,1,
D8874,成實論義記（存卷中　前殘）,1,唐 釋其甲撰
D8879,成唯識論訂正,10,明 釋廣伸撰
D8880,成唯識論述記序釋,1,日本 釋善珠撰
D8881,菩提心論問題,2,日本 釋善珠撰
D8882,菩提心論口筆,1,日本 釋實順撰
D8883,百法問答聞書抄,6,
D8885,因明入正理論後記,6,清 吳樹虛撰
D8888,表無表章詮要鈔,6,唐 釋窺基撰
D8889,教相樞要鈔,2,日本 釋高範撰
D8890,唐三藏法師唯識量質疑錄,2,清 吳樹虛撰
D8891,表無表章詳體文集,3,日本 釋叡尊撰
D8892,略述法相義依釋,3,日本 釋高範撰
D8893,法宗原私記,2,日本 釋龍謙撰
D8894,頌義八拔萃,5,
D8895,略述法相義,3,日本 釋良光撰
D8896,唯識義,6,日本 釋真興撰
D8898,脩大方廣佛華嚴法界觀,1,唐 釋杜順編
D8899,圭峰禪師原人論發微錄,1,宋 釋淨源撰
D8903,天台名目類聚鈔,7,日本 釋貞舜撰
D8904,西谷名目句解,7,
D8905,選擇傳弘決疑鈔,5,日本 釋良忠撰
D8913,識知淨土論,1,日本 弁阿撰
D8914,釋淨土群疑論探要記,14,
D8915,禪門偈（前殘）,1,
D8930,特賜興禪大燈國師參詳語要,2,日本 釋妙超撰
D8936,正信念佛偈私見聞,5,日本 釋空誓撰
D8939,古尊宿語錄,33,
D8942,四家錄,4,元 釋海島編
D8945,雪峰空和尚外集,1,宋 釋慧空撰　釋惠然編
D8948,佛國禪師語錄,2,元 釋無學撰　釋妙環等編
D8951,如來香,14,清 唐時編
D8952,為二太子中元盂蘭薦福文,1,
D8953,結壇散食迴向發願文（首尾殘缺）,1,
D8954,儀註備簡,10,明 釋大惠撰
D8980,冥樞會要,3,宋 釋祖心編
D9000,空谷集,3,明 釋景隆撰
D9010,閱藏隨錄,1,明 王芥庵撰
D9011,藏經值畫一目錄,1,
D9021,知儒編,1,明 周夢秀撰
D9025,淨土三部經音義集,4,日本 釋信瑞撰
D9026,大悲觀世音菩薩至道禮文,1,
D9027,道安法師念佛讚文附入山讚文,1,
D9031,僧家禮儀文,1,朝鮮 釋冲絢撰
