典籍編號,典籍名稱,卷數,作譯者
F0016,大王觀世音經,1,
F0041,比丘尼羯磨經,1,劉宋 求那跋摩譯
F0069,因果本起經,1,宋 求那跋陀羅譯
F0088,佛說灌頂章句拔除過罪生死得度經,1,東晉 帛尸梨密多羅譯
F0089,佛說恒水流樹經,1,劉宋 天竺三藏求那跋陀羅譯
F0100,金剛般若波羅蜜經（御注並序）,1,唐 玄宗李隆基注
F0181,大般若關,1,
F0248,佛說救護身命經,1,比丘道真譯
F0546,大方廣圓覺修多羅了義經（選錄「附文：金剛禮一本」）,1,遼 通理大師集
F0761,觀自在菩薩廣大圓滿無礙大悲根本陀羅尼,1,唐 南天竺國三藏金剛智譯
F1048,一切如來白傘蓋大佛頂陀羅尼,1,唐 不空譯
F1050,聖千手千眼觀自在菩薩摩訶薩廣大圓滿無礙大悲心陀羅尼,1,唐 不空譯
F1056,梵本般若波羅蜜多心經,1,唐 不空譯
F1060,梵本般若波羅蜜多心經,1,宋 慈賢譯
F1061,大隨求陀羅尼,1,宋 慈賢譯
F1062,佛頂尊勝陀羅尼,1,宋 慈賢譯
F1063,一切如來白傘蓋大佛頂陀羅尼,1,宋 慈賢譯
F1064,大悲心陀羅尼,1,宋 慈賢譯
F1071,釋教最上乘秘密藏陀羅尼集,30,行琳集
F1072,一切佛菩薩名集,22,德雲集
F1076,發菩提心戒,1,石經寺主講經律沙門志仙記
F1081,一乘法界圖合詩一印,1,儼法師造
F1082,釋華嚴漩澓偈,1,南岳般舟道場比丘惟勁釋
F1083,漩澓偈,1,杜順法師造
F1084,健拏標訶一乘修行者秘密義記,1,大香山隱士釋法藏述
F1098,高上玉皇本行集經髓,1,儼法師造
F1099,無上玉皇心印經,1,杜順法師造
