典籍編號,典籍名稱,卷數,作譯者,type
GA0002,洛陽伽藍記集證,6,清 吳若準集證,text
GA0003,洛陽伽藍記鉤沈,5,民國 唐晏鉤沈,text
GA0004,洛陽伽藍記合校本,8,民國 張宗祥合校,text
GA0005,南朝佛寺志,2,清 孫文川撰　陳作霖編,text
GA0008,重修普陀山志,6,明 周應賓撰,text
GA0009,普陀洛迦新志,12,民國 王亨彥撰,text
GA0010,明州阿育王山志,10,明 郭子章撰,text
GA0011,明州阿育王山續志,6,清 釋畹荃撰,text
GA0012,天童寺志,10,清 聞性道．釋德介撰,text
GA0013,七塔寺志,8,民國 陳寥士撰,text
GA0014,明州岳林寺志,6,清 戴明琮撰,text
GA0015,大昭慶律寺志,10,清 吳樹虛撰,text
GA0017,玉岑山慧因高麗華嚴教寺志,12,明 李翥撰　清 丁丙補,text
GA0018,鳳凰山聖果寺志,1,清 釋超乾撰,text
GA0019,武林理安寺志,8,清 杭世駿撰,text
GA0020,龍井見聞錄,12,清 汪孟鋗撰,text
GA0021,武林靈隱寺志,8,清 孫治撰　徐增重編,text
GA0022,增修雲林寺志,8,清 厲鶚．張熷撰,text
GA0023,雲林寺續志,8,清 沈鑅彪撰,text
GA0024,杭州上天竺講寺志,15,明 釋廣賓撰,text
GA0025,雲居聖水寺志,7,清 釋𧧌湛．釋明倫原輯　釋通淵．釋實懿重纂,text
GA0028,龍興祥符戒壇寺志,12,清 張大昌撰,text
GA0029,西谿梵隱志,4,清 吳本泰撰　釋智一編,text
GA0030,崇福寺志,4,清 朱文藻撰,text
GA0031,續崇福寺志,2,清 章庭棫撰,text
GA0032,徑山志,14,明 宋奎光撰,text
GA0036,破山興福寺志,5,明 程嘉燧撰　蘇先繪圖,text
GA0043,寒山寺志,3,清 葉昌熾纂,text
GA0049,峨眉山志,8,清 蔣超撰　民國 釋印光重修,text
GA0062,泉州開元寺志,1,明 釋元賢撰,text
GA0077,九華山志,8,民國 釋印光重修,text
GA0081,清涼山志,8,民國 釋印光重修,text
GA0084,雞足山寺志,10,明 錢邦纂　清 茫承勳增修,text
GA0086,黃檗山寺志,8,"清 性幽獨往等編訂續修",text
GA0089,天台山方外志,30,"清 釋傳燈編撰",text
