典籍編號,典籍名稱,卷數
I0001,宕昌公暉福寺碑,1
I0002,姚伯多等造像記,1
I0003,元景造石窟記,1
I0004,韓貞等造石窟記,1
I0005,劉未等造像記,1
I0006,高伏德等三百人造像記,1
I0007,比丘法雅等千人造九級浮圖碑,1
I0008,張道智造像記,1
I0009,高洛周七十人等造像記,1
I0010,僧暈等造像記,1
I0011,馮神育等二百廿人造像碑,1
I0012,嵩顯寺碑,1
I0013,南石窟寺碑,1
I0014,比丘郭曇勝造像記,1
I0015,張安世造像記,1
I0016,比丘劉僧真等造像記,1
I0017,夫蒙文慶造像記,1
I0018,張乾度七十人等造像記,1
I0019,錡雙胡廿人等造像記,1
I0020,袁永等五十人造像記,1
I0021,馬鳴寺根法師碑,1
I0022,比丘尼統慈慶墓誌銘,1
I0023,孫遼浮圖銘,1
I0024,仇臣生造像記,1
I0025,常煥等造浮圖記,1
I0026,蔣伯仙造像記,1
I0027,杜善勝合邑七十人造像記,1
I0028,大覺寺元尼墓誌銘并序,1
I0029,僧智薛鳳規等道俗造像記,1
I0030,廣業寺造像碑,1
I0031,儁蒙文姬卅一人等造像記,1
I0032,大魏故昭玄沙門大統令法師墓誌銘,1
I0033,法義兄弟等二百人造像記,1
I0034,中岳嵩陽寺碑,1
I0035,張法壽息榮遷等造像記,1
I0036,安村道俗一百餘人修塔記,1
I0037,白實等造中興寺石像記,1
I0038,僧演造像記,1
I0039,合邑四十人造像記,1
I0040,凝禪寺三級浮圖碑,1
I0041,敬史君碑,1
I0042,巨始光等造像碑,1
I0043,李氏合邑造像碑,1
I0044,李贊邑等邑義五百餘人造像碑,1
I0045,道俗九十人造像記,1
I0046,王貳郎法義三百人等造像記,1
I0047,朱永隆七十人等造像記,1
I0048,報德玉像七佛頌碑,1
I0049,杜照賢十三人等造像記,1
I0050,陳神姜等造像記,1
I0051,邑子七十人等造大道如來記,1
I0052,比丘道造像記,1
I0053,杜英儁等十四人造像記,1
I0054,道俗卅七人造經像記,1
I0055,邢多五十人等造像記,1
I0056,馬敬賢五十人等造像記,1
I0057,葉容等造像記,1
I0058,李清造報德像碑,1
I0059,郭猛八十人等造塔像記,1
I0060,趙郡王高叡定國寺碑,1
I0061,趙郡王高叡修定國寺頌,1
I0062,靜明等修塔造像記,1
I0063,劉碑造像記,1
I0064,強獨樂為周文王造像碑,1
I0065,宋敬業等造塔記,1
I0066,魯思明等造寺記,1
I0067,董黃頭七十人等造像記,1
I0068,東平郡須昌縣□檀寺造經碑,1
I0069,方法師鏤石班經記,1
I0070,周大將軍延壽公碑頌,1
I0071,陳神忻七十二人等造石室記,1
I0072,彭城王高浟修寺碑,1
I0073,標異鄉義慈惠石柱頌,1
I0074,比丘尼法藏等造像記,1
I0075,陳榮等三百餘人造像記,1
I0076,阿鹿交村七十人等造石室像記,1
I0077,嚴壽等重修故塔記,1
I0078,比丘道政四十人等造像記,1
I0079,王氏道俗百人造像記,1
I0080,郭顯邕等造一切經記,1
I0081,雷暉嫗造釋迦像記,1
I0082,陳氏合村造像記,1
I0083,雷明香造像記,1
I0084,宋買廿二人等造天宮石像記,1
I0085,韓永義等造像記,1
I0086,潘景暉造碑像記,1
I0087,棲閑寺邑義六十人造像記,1
I0088,劉氏造像記,1
I0089,舜禪師等百餘人造像記,1
I0090,董洪達四十人等造像記,1
I0091,楊暎香等八十人造像記,1
I0092,道略等造神碑像記,1
I0093,永顯寺道端等三百人造像記,1
I0094,興聖寺四十人等造碑像記,1
I0095,唐邕刻經記,1
I0096,馮翊王高潤修平等寺碑,1
I0097,瓽仲義八十人等造像記,1
I0098,臨淮王像碑,1
I0099,建崇寺浮圖銘,1
I0100,比丘尼圓照圓光造雙像記,1
