典籍編號,典籍名稱,卷數,作譯者,type
JA042,大慧普覺禪師年譜,1,宋 祖詠編　張掄序　宗演跋,text
JA123,起信論疏（選錄「科文」）,1,宋 子璿脩定,text
JA158,密雲禪師語錄,12,明 圓悟說　如學等編,text
JB005,大方廣佛華嚴經普賢行願品別行疏鈔（選錄「華嚴宗七祖行蹟」及「附錄」）,1,唐 澄觀別行疏　宗密隨疏鈔,text
JB044,諸經日誦集要,3,佚名,text
JB047,瑜伽集要燄口施食儀,1,唐 不空譯　西夏 不動金剛重集　清 受登詮次　有圖像四十　緣起,text
JB048,北京五大部直音會韻,2,明 久隱撰,text
JB090,續原教論,2,明 沈士榮著,text
JB091,道餘錄,1,明 姚廣孝著並序,text
JB095,蕅益三頌,1,明 智旭述並序　三頌為華嚴．楞嚴．法華　有偶拈問答及重刻自跋,text
JB096,周易禪解,10,明 智旭著,text
JB097,天樂鳴空集,3,明 鮑宗肇述　智旭定,text
JB098,黃蘗無念禪師復問,6,明 深有撰　明 聞刪定,text
JB103,寒山子詩集,1,唐 閭丘胤集並序　明 王宗沐序　附拾得．豐干詩,text
JB109,大藏一覽,10,明 陳實編　姚舜漁重輯,text
JB110,護法錄,10,明 宋濂著　袾宏輯　錢謙益訂,text
JB116,憨山老人夢遊全集,5,明 德清撰　福善日錄,text
JB118,密藏開禪師遺稿,2,明 道開著,text
JB120,闢邪集,1,明 鍾始聲著　大朗序　文分天學初徵及天學再徵　附書柬四則　程啟用跋,text
JB122,醒世錄,8,清 徐昌治輯,text
JB125,先覺宗乘（選錄「帝王問道錄」）,1,明 郭凝之編,text
JB127,無依道人錄,2,清 徐昌治著　超悟錄　僧鑑序　附疏稿（原有缺頁）,text
JB128,普明禪師牧牛圖頌,1,明 普明原唱　諸方和韻　嚴大參序　清 如念編目　有圖十,text
JB129,牧牛圖頌,1,明 普明原輯　性音續集舊跋　清 納信序　明 袾宏序　清 超格序　乾隆四十九年了彙重刊,text
JB134,五家語錄（選錄）,2,唐 慧然集　明 郭凝之重訂,text
JB135,石門文字禪,30,宋 德洪著　原書缺　依民國十年常州天寧寺刻本印,text
JB137,趙州和尚語錄,3,唐 從諗說　文遠記　大參重校　明聲重刻,text
JB138,雲門匡真禪師語錄,3,南漢 文偃說　守堅編,text
JB154,松隱唯菴然和尚語錄,3,明 德然說　慧省編次,text
JB155,無趣老人語錄,1,明 如空說　性沖編,text
JB156,無幻禪師語錄,2,明 性沖說　慧廣編集,text
JB159,天真毒峰善禪師要語,1,明 本善記　悟深編,text
JB163,古庭禪師語錄輯略,4,明 善堅說　各卷首皆題曹溪一滴古庭禪師語錄,text
JB164,曹溪一滴,1,明 周理編　附夢語摘要,text
JB165,大巍禪師竹室集,1,明 淨倫撰　周理輯　內題曹溪一滴卷六,text
JB166,浮山法句,1,明 本智撰　周理輯　內題曹溪一滴卷七　前有明 吳應賓塔銘及王舜鼎夢禪語,text
JB167,徹庸和尚谷響集,1,明 徹庸撰　洪如錄　內題曹溪一滴卷八　後附淨土偈一卷,text
JB171,天隱和尚語錄,15,明 圓修說　通問等編,text
JB173,壽昌無明和尚語錄,2,明 慧經說　元來集,text
JB174,天界覺浪盛禪師語錄,12,明 道盛說　大成．大奇等編,text
JB175,大溈五峰學禪師語錄,1,明 如學說　清 智海重刻　周堪賡序　有行實　明 陶汝鼐塔銘,text
JB176,大溈密印寺養拙明禪師語錄,1,清 正明說　智海編　通雲序　陶之典序　有行實　周堪賡塔銘　附大溈四記一卷,text
JB177,破山禪師語錄,20,清 海明說　印正等編　附年譜　印巒等輯　印綬等編　原書缺依駒本印,text
JB178,費隱禪師語錄,14,明 通容說　隆琦等編　附紀年錄　行觀．王谷同集　徐昌治．董行證較　行宗．行古重訂刻,text
JB180,天童弘覺忞禪師北遊集,6,清 道忞說　真樸編次,text
JB181,布水臺集,32,明 道忞著（中央圖書館善本書目編在集部別集類）,text
JB182,萬如禪師語錄,10,清 通微說　行猷等編,text
JB183,雪竇石奇禪師語錄,15,清 通雲說　行正等編錄,text
JB184,牧雲和尚七會語錄,6,清 通門說　行瑋等編,text
JB185,浮石禪師語錄,10,明 通賢說　行浚等編,text
JB186,林野奇禪師語錄,8,明 通奇說　行謐等編,text
JB187,天岸昇禪師語錄,20,清 昇說　元玉等記錄,text
JB188,入就瑞白禪師語錄,18,明 明雪說　寂蘊編,text
JB189,三宜盂禪師語錄,11,明 明盂說　淨範等編,text
JB190,石雨禪師法檀,20,明 明方說　淨柱編,text
JB191,象田即念禪師語錄,4,明 淨現說　淨癡等錄,text
JB192,大休珠禪師語錄,12,清 珠說　廣熙等錄,text
JB193,隱元禪師語錄,16,清 隆琦說　海寧等編,text
JB194,昭覺丈雪醉禪師語錄,10,清 通醉說　徹綱等編,text
JB196,鴛湖用禪師語錄,2,清 妙用說　悟進．悟元等編,text
JB197,博山無異大師語錄集要,6,明 元來說　成正錄　元賢集,text
JB198,雪關禪師語錄,13,明 智誾說　成巒等錄　開詗編,text
JB199,雪關和尚語錄,6,明 智誾說　傳善輯,text
JB200,石霜爾瞻尊禪師語錄,2,清 達尊說　本開等記錄,text
JB202,百癡禪師語錄,30,清 元說　超宣等編,text
JB203,雲峨喜禪師語錄,2,清 喜說　智恒等編,text
JB204,斌雅禪師語錄,2,清 鑑說　海岳記錄,text
JB205,介為舟禪師語錄,10,清 行舟說　海鹽．益證等編,text
JB206,笑堂和尚語錄,1,清 說　超源等記錄　超晙等編,text
JB207,古瓶山牧道者究心錄,3,明 真本說　機峻等編,text
JB208,古雪哲禪師語錄,20,明 真哲說　傳我等編,text
JB209,永濟融禪師語錄,2,清 融說　師住．妙印等錄,text
JB210,伏獅祇園禪師語錄,2,清 行剛（尼）說　授遠．超宿等編,text
JB211,季總徹禪師語錄,4,清 徹（尼）說　超祥記錄,text
JB212,二隱謐禪師語錄,10,清 謐說　超巨．超秀等編,text
JB213,芝巖秀禪師語錄,2,清 秀說　明一等編,text
JB214,蕅益大師佛學十種（選錄「性學開蒙」．「梵室偶談」兩種）,2,明 智旭著,text
JB215,頌古合響集,1,明 徹（尼）．符（尼）合頌　張有譽輯並序,text
JB216,絕餘編,4,明 智旭著　圓果錄,text
JB218,懶石聆禪師語錄,4,清 聆說　海瑞等錄,text
JB219,紫竹林顓愚衡和尚語錄,20,清 觀衡說　正印重編,text
JB220,法璽印禪師語錄,12,清 印說　性圓等編,text
JB221,楞嚴法璽印禪師語錄,2,清 印說　旋性記錄,text
JB222,夔州臥龍字水禪師語錄,3,明 圓䂐說　觀誰等錄,text
JB223,山暉禪師語錄,12,清 璧說　如崇等錄　宗上編,text
JB224,嵩山野竹禪師錄,14,清 福慧說　宗宏錄　宗上．宗堅仝編,text
JB225,鄂州龍光達夫禪師雞肋集,1,清 蘊上說　道汜．道沖等錄（依駒本印）,text
JB226,頌古鉤鉅,1,清 蘊上頌并跋　蘊宏著語（依駒本印）,text
JB227,集文字禪,1,清 蘊上著　舒峻極序　杜國柱序（依駒本印）,text
JB229,法瀾澂禪師語錄,2,清 原澂說　清杲編次（依駒本印）,text
JB230,天王水鑑海和尚六會錄,10,清 慧海說　原澂等編（依駒本印）,text
JB231,天王水鑑海和尚五會錄,6,清 慧海說　原澂等編,text
JB232,天王水鑑海和尚住金粟語錄,3,清 慧海說　原澂．原上等編,text
JB233,介菴進禪師語錄,10,清 悟進說　真理等編　附源流頌,text
JB234,一初元禪師語錄,2,清 元說　真開．真智等編,text
JB235,蓮月禪師語錄,6,清 道正說　性容等錄,text
JB236,玉泉蓮月正禪師語錄,2,清 道正說　發慧等錄,text
JB237,月幢了禪師語錄,4,清 了說　達最等編,text
JB238,聚雲吹萬真禪師語錄,3,明 廣真說　燈來編,text
JB239,吹萬禪師語錄,20,明 廣真說　燈來重編（依駒本印）,text
JB240,慶忠鐵壁機禪師語錄,3,明 慧機說　燈來編,text
JB241,慶忠鐵壁機禪師語錄,20,明 慧機說　幻敏重編（依駒本印）,text
JB242,鐵眉三巴掌禪師語錄,1,明 鐵眉號三巴掌說　性養．性亮同編,text
JB243,耳庵嵩禪師語錄,1,清 嵩說　性愷編　徐善序　有附記,text
JB244,三山來禪師語錄,16,清 燈來說　普定編（原目二十八卷　卷十七下註有「嗣刻」二字　此為初刻本）,text
JB245,高峰三山來禪師年譜,1,清 性統編　至善序（依駒本印）,text
JB246,嘉興退菴斷愚智禪師語錄,2,清 智說　機輪等編,text
JB247,普光坦菴禪師語錄,1,清 機峻說　全弘錄　羅開麟序（依駒本印）,text
JB248,達變權禪師語錄,5,清 顯權說　海澂錄,text
JB249,方融璽禪師語錄,3,清 如璽說　興林等編　附淨土詩,text
JB259,怡山禮佛發願文略釋,1,清 書玉略釋並序跋　有事義（依駒本印）,text
JB260,大懺悔文略解,2,清 書玉略解（依駒本印）,text
JB267,牧雲和尚嬾齋別集,14,明 通明撰　毛晉編,text
JB268,牧雲和尚宗本投機頌,1,明 通明撰　附病遊遊刃．病遊初草．病遊後草,text
JB269,金剛般若經疏論纂要刊定記會編,10,唐 宗密述疏　宋 子璿錄記　清 行策會編,text
JB271,閱藏知津,44,明 智旭彙輯　總目四卷,text
JB272,明州天童景德禪寺宏智覺禪師語錄,4,宋 正覺說　淨啟重編,text
JB273,千巖和尚語錄,1,元 元長說　嗣詔錄,text
JB275,興善南明廣禪師語錄,1,明 慧廣說　妙用集　悟進重輯並跋　明方序　黃承昊序　有行狀,text
JB276,不會禪師語錄,10,清 法通說　性靈等編（依駒本印）,text
JB277,雲棲法彙（選錄）,25,明 袾宏著（原本多缺　依金陵本補印　並補後增讚序等文　凡補印者　於該條目上作△以志之）,text
JB279,虛舟禪師註八識規矩頌,1,清 行省撰,text
JB280,神鼎雲外澤禪師語錄,15,清 行澤說　宏怤等編（依駒本印）,text
JB281,壇溪梓舟船禪師語錄,3,明 船說　明法等編（依駒本印）,text
JB282,虛舟省禪師語錄,4,清 行省說　超直等編（依駒本印）,text
JB283,天台三聖詩集和韻,1,元 梵琦首和　清 福慧重和,text
JB284,益州嵩山野竹禪師後錄,8,清 福慧說　洪希等編,text
JB285,兜率不磷堅禪師語錄,3,清 宗堅說　妙聖等記,text
JB286,攖寧靜禪師語錄,6,清 智靜說　德亮等編　德莪等錄,text
JB287,自閒覺禪師語錄,8,清 覺說　洪暹等編,text
JB288,憨予暹禪師語錄,6,清 洪暹說　法雲等編,text
JB293,擬寒山詩,1,明 張守約追擬並序　唐守禮序　蔡善繼序（依駒本印）,text
JB294,雲溪俍亭挺禪師語錄,18,清 淨挺說　智淙等編,text
JB295,學佛考訓,10,清 淨挺輯,text
JB296,漆園指通,3,清 淨挺著,text
JB298,屾峰憲禪師語錄,10,清 憲說　智質．智原同編（依駒本印）,text
JB299,三峰藏和尚語錄,16,明 法藏說　弘儲記　後附年譜一卷．南嶽勒古一卷,text
JB300,朝宗禪師語錄,10,明 通忍說　行導編（依駒本印）,text
JB301,南嶽繼起和尚語錄,10,清 弘儲說　濟機等編,text
JB303,燮雲璣禪師國清無畏堂語錄,1,清 濟璣說　玄杲錄　張有譽序,text
JB304,靈樹遠禪師雲嵒集,2,清 僧遠說　廣仍記　附雲嵒頌古　附雲嵒九頌　余懷製,text
JB305,國清大庾韜禪師語錄,1,清 行韜說　顯裕等錄　有塔銘　行略（依駒本印）,text
JB306,內紹種禪師語錄,2,清 種說　照維等記　附頌古,text
JB308,象崖珽禪師語錄,4,清 性珽說　益聞重刊,text
JB309,雲腹智禪師語錄,2,清 道智說　嶽賢．聯昇記錄,text
JB310,雲叟住禪師語錄,2,清 住說　元一記錄,text
JB311,天界覺浪盛禪師全錄,33,明 道盛說　大成．大然等較　後附杖門隨集,text
JB312,天界覺浪盛禪師嘉禾語錄,1,明 道盛說　大樞．大英錄　譚貞默序,text
JB313,青原愚者智禪師語錄,4,清 智說　興磬．興斧編,text
JB325,解惑篇,2,清 弘贊編（依駒本印）,text
JB326,木人剩稿,5,清 弘贊編　開溈錄,text
JB336,南海寶象林慧弓詗禪師語錄,6,清 開詗說　傳一等錄,text
JB337,寶持總禪師語錄,2,清 玄總（尼）說　明英等記,text
JB338,靈瑞尼祖揆符禪師妙湛錄,5,清 符（尼）說　師炤等記,text
JB339,靈瑞禪師嵒華集,5,清 符（尼）說　振澂等記,text
JB340,慧覺衣禪師語錄,3,清 照衣說　徹御等編,text
JB341,佛語御禪師語錄,1,清 徹御說　法傑．法秀等編　聖可序,text
JB342,華嚴聖可禪師語錄,5,清 德玉說　光佛等編,text
JB343,廣福山勝覺寺密印禪師語錄,12,清 真傳說　如暐等編,text
JB345,蘇州竹庵衍禪師語錄,2,清 真衍說　機如編,text
JB346,古林如禪師語錄,4,清 機如說　全威等記錄,text
JB348,靈峰蕅益大師宗論,10,明 智旭著,text
JB351,道德經順硃,2,清 德玉順硃,text
JB352,東山破峰重禪師語錄,2,清 普重說　傳慧等編,text
JB353,雲幻宸禪師語錄,1,清 印宸說　發林等編　王民皞序　李道泰塔記,text
JB354,錦屏破石卓禪師雜著,1,明 悟卓說　超常記錄　發林行狀,text
JB355,綠蘿恒秀林禪師語錄,2,清 發林說　光悠等編,text
JB356,奇然智禪師語錄,2,清 超智說　明林．明燦等編,text
JB357,秀野林禪師語錄,3,清 明林說　最正等編,text
JB358,智覃正禪師語錄,1,清 最正說　尚能．尚瑩等編　末附助緣耆德,text
JB359,百愚禪師語錄,20,清 淨斯說　智操．智海等編語錄　智朴．方拱乾等編蔓堂集　附蔓堂集,text
JB362,觀濤奇禪師語錄,6,清 大奇說　興舒等編,text
JB363,文穆念禪師語錄,5,清 念說　真慧等編,text
JB364,佛古聞禪師語錄,4,清 行聞說　超質等編,text
JB365,石璞質禪師語錄,2,清 超質說　明嵩等編,text
JB366,大方禪師語錄,6,明 行海說　超鳴編,text
JB367,寂光豁禪師語錄,6,清 豁說　發育等編,text
JB368,天台通玄寺獨朗禪師語錄,2,清 行曰說　超心．超香等編,text
JB369,蔗菴範禪師語錄,30,清 淨範說　智璋等錄,text
JB370,草堂耨雲實禪師語錄,2,清 真實說　寂訥等編（依駒本印）,text
JB371,佛冤禪師語錄,12,清 徹綱說　性純等編（依駒本印）,text
JB372,印心佛敏訥禪師語錄,2,清 寂納說　法棟等錄　法通等編（依駒本印）,text
JB383,憨休禪師語錄,12,繼堯等編,text
JB384,憨休禪師敲空遺響,12,清 如乾說　張恂編閱　繼堯校訂（依駒本印）,text
JB386,遠菴僼禪師語錄,16,清 本僼說　元視等編（依駒本印）,text
JB387,古宿尊禪師語錄,6,清 尊說　明圓等編（依駒本印）,text
JB388,神鼎一揆禪師語錄,12,清 元揆說　成炯等編（依駒本印）,text
JB389,洪山俞昭允汾禪師語錄,6,清 允汾說　上睿等編（依駒本印）,text
JB390,北京楚林禪師語錄,6,清 上睿說　照琮等錄（依駒本印）,text
JB391,長目電禪師語錄,2,清 光電說　悟本編（依駒本印）,text
JB392,寒松操禪師語錄,20,清 智操說　德昊編（依駒本印）,text
JB393,華巖還初佛禪師語錄,2,清 佛說　通量等編（依駒本印）,text
JB394,翼菴禪師語錄,8,清 善酇說　分為國清語錄二卷　序燈等記　真如語錄三卷　序璋等記　通玄語錄一卷　力端等錄　和寒山詩二卷（依駒本印）,text
JB395,荊南內護國寺啟真誠禪師語錄,4,清 誠說　振聞編（依駒本印）,text
JB396,終南山蟠龍子肅禪師語錄,1,清 超遠說　性明編　海闊等錄（依駒本印）,text
JB399,鶴林天樹植禪師語錄,1,清 行植說　湛祐編（依駒本印）,text
JB400,知空蘊禪師語錄,2,清 學蘊說　通來等編（依駒本印）,text
JB401,浦峰長明炅禪師語錄,1,清 性炅說　海棟編（依駒本印）,text
JB402,浦峰法柱棟禪師語錄,2,清 海棟說　慧昇集　慧渠編　慧岱錄（依駒本印）,text
JB406,廬山天然禪師語錄,12,明 函昰說　今辯重編（依駒本印）,text
JB407,千山剩人禪師語錄,6,明 函可說　元賦等編　今羞等錄　今盧．今又重梓（依駒本印）,text
JB408,海幢阿字無禪師語錄,2,清 今無說　今辯重編（依駒本印）,text
JB409,丹霞澹歸禪師語錄,3,明 今釋說　今辯重編（依駒本印）,text
JB410,蓮峰禪師語錄,10,清 素說　性深等編（依駒本印）,text
JB411,德風禪師般若語錄,6,清 說　如惺等編（依駒本印）,text
JB412,三塔主峰禪師語錄,1,清 說　覺海錄　譚貞默等請啟（依駒本印）,text
JB413,黃蓮東巖禪師語錄,1,清 說　機琇記錄　黎元寬序　文德翼序　內分黃蓮語錄　蘄州語錄　有行實　末附懷淨土偈（依駒本印）,text
JB414,山鐸真在禪師語錄,1,清 真在說　機雲．智旭等錄（依駒本印）,text
JB415,大悲妙雲禪師語錄,6,清 真雄說　機德等編（依駒本印）,text
JB416,調實居士證源錄,1,清 陸瑛說　羅機徹編　羅開驎序　佚名序（末頁缺）　有行略（依駒本印）,text
JB417,天則能禪師語錄,1,清 機能說　道崇．續彌同錄　羅開驎序　機雲序　有行略（依駒本印）,text
JB418,晦嶽旭禪師語錄,8,清 旭說　全琳等錄（依駒本印）,text
JB419,華嚴不厭樂禪師語錄,3,清 道樂說　德普記錄（依駒本印）,text
JB420,三峰半水元禪師語錄,1,清 元說　光深等錄　華嚴玉序（依駒本印）,text
JB421,鶴峰禪師語錄,2,清 濟悟說　上震等編（依駒本印）,text
JB422,林我禪師語錄,4,清 鑑說　海錱．海茲等編錄（依駒本印）,text
JB423,石關禪師語錄,1,清 說　芳桂等編（依駒本印）,text
JB424,香嚴禪師語錄,1,清 說　明耀等編錄　葉燮序　有行實（依駒本印）,text
JB425,即非禪師全錄,25,清 如一說　明洞等編（依駒本印）　附佛祖圖,text
