典籍編號,典籍名稱,卷數,作譯者,type
TXa001,編纂說明,2,"",editor
TX0001,第一編　佛法總學,34,民國 釋太虛著,text
TX0002,第二編　五乘共學,22,民國 釋太虛著,text
TX0003,第三編　三乘共學,12,民國 釋太虛著,text
TX0004,第四編　大乘通學,22,民國 釋太虛著,text
TX0005,第五編　法性空慧學,16,民國 釋太虛著,text
TX0006,第六編　法相唯識學,49,民國 釋太虛著,text
TX0007,第七編　法界圓覺學,51,民國 釋太虛著,text
TX0008,第八編　律釋,3,民國 釋太虛著,text
TX0009,第九編　制議,67,民國 釋太虛著,text
TX0010,第十編　學行,45,民國 釋太虛著,text
TX0011,第十一編　宗依論,5,民國 釋太虛著,text
TX0012,第十二編　宗體論,1,民國 釋太虛著,text
TX0013,第十三編　宗用論,139,民國 釋太虛著,text
TX0014,第十四編　支論,8,民國 釋太虛著,text
TX0015,第十五編　時論,71,民國 釋太虛著,text
