典籍編號,典籍名稱,卷數,作譯者,type
Y0001,般若經講記,3,民國 釋印順著,text
Y0002,寶積經講記,2,民國 釋印順著,text
Y0003,勝鬘經講記,2,民國 釋印順著,text
Y0004,藥師經講記,2,民國 釋印順著,text
Y0005,中觀論頌講記,2,民國 釋印順著,text
Y0006,攝大乘論講記,2,民國 釋印順著,text
Y0007,大乘起信論講記,2,民國 釋印順著,text
Y0008,佛法概論,20,民國 釋印順著,text
Y0009,中觀今論,12,民國 釋印順著,text
Y0010,唯識學探源,2,民國 釋印順著,text
Y0011,性空學探源,3,民國 釋印順著,text
Y0012,成佛之道,5,民國 釋印順著,text
Y0013,太虛大師年譜,2,民國 釋印順著,text
Y0014,佛在人間,14,民國 釋印順著,text
Y0015,學佛三要,11,民國 釋印順著,text
Y0016,以佛法研究佛法,12,民國 釋印順著,text
Y0017,淨土與禪,6,民國 釋印順著,text
Y0018,青年的佛教,4,民國 釋印順著,text
Y0019,我之宗教觀,8,民國 釋印順著,text
Y0020,無諍之辯,11,民國 釋印順著,text
Y0021,教制教典與教學,14,民國 釋印順著,text
Y0022,佛教史地考論,20,民國 釋印順著,text
Y0023,華雨香雲,39,民國 釋印順著,text
Y0024,佛法是救世之光,43,民國 釋印順著,text
Y0025,華雨集（一）,5,民國 釋印順著,text
Y0026,華雨集（二）,2,民國 釋印順著,text
Y0027,華雨集（三）,7,民國 釋印順著,text
Y0028,華雨集（四）,11,民國 釋印順著,text
Y0029,華雨集（五）,43,民國 釋印順著,text
Y0030,雜阿含經論會編（中）,7,民國 釋印順著,text
Y0031,印度之佛教,18,民國 釋印順著,text
Y0032,印度佛教思想史,10,民國 釋印順著,text
Y0033,原始佛教聖典之集成,12,民國 釋印順著,text
Y0034,說一切有部為主的論書與論師之研究,14,民國 釋印順著,text
Y0035,初期大乘佛教之起源與開展,15,民國 釋印順著,text
Y0036,空之探究,4,民國 釋印順著,text
Y0037,如來藏之研究,8,民國 釋印順著,text
Y0038,中國禪宗史,9,民國 釋印順著,text
Y0039,平凡的一生（重訂本）,35,民國 釋印順著,text
Y0040,成佛之道（增注本）,5,民國 釋印順著,text
Y0041,永光集,11,民國 釋印順著,text
Y0042,大乘廣五蘊論講記,3,民國 釋印順著,text
